GEN: 98    BEST FITNESS: 68720348062.25072        	BEST SCORE: 36   	BEST RATIO: 0.05429864253393665      WON: 0    	WON AVG RATIO: 0                        	
GEN: 99    BEST FITNESS: 17180638969.788662       	BEST SCORE: 34   	BEST RATIO: 0.050974512743628186     WON: 0    	WON AVG RATIO: 0                        	
GEN: 100   BEST FITNESS: 68720346296.02403        	BEST SCORE: 36   	BEST RATIO: 0.053019145802650956     WON: 0    	WON AVG RATIO: 0                        	
GEN: 101   BEST FITNESS: 549756840996.9791        	BEST SCORE: 39   	BEST RATIO: 0.05342465753424658      WON: 0    	WON AVG RATIO: 0                        	
GEN: 102   BEST FITNESS: 34360560742.737526       	BEST SCORE: 35   	BEST RATIO: 0.0546875                WON: 0    	WON AVG RATIO: 0                        	
GEN: 103   BEST FITNESS: 137439893311.49295       	BEST SCORE: 37   	BEST RATIO: 0.07088122605363985      WON: 0    	WON AVG RATIO: 0                        	
GEN: 104   BEST FITNESS: 17592187357229.758       	BEST SCORE: 44   	BEST RATIO: 0.05104408352668213      WON: 0    	WON AVG RATIO: 0                        	
GEN: 105   BEST FITNESS: 549756839872.0593        	BEST SCORE: 39   	BEST RATIO: 0.05277401894451962      WON: 0    	WON AVG RATIO: 0                        	
GEN: 106   BEST FITNESS: 549756835331.2211        	BEST SCORE: 39   	BEST RATIO: 0.05032258064516129      WON: 0    	WON AVG RATIO: 0                        	
GEN: 107   BEST FITNESS: 137439872539.7771        	BEST SCORE: 37   	BEST RATIO: 0.05218617771509168      WON: 0    	WON AVG RATIO: 0                        	
GEN: 108   BEST FITNESS: 549756846802.6969        	BEST SCORE: 39   	BEST RATIO: 0.05710102489019034      WON: 0    	WON AVG RATIO: 0                        	
GEN: 109   BEST FITNESS: 68720334631.74603        	BEST SCORE: 36   	BEST RATIO: 0.04603580562659847      WON: 0    	WON AVG RATIO: 0                        	
GEN: 110   BEST FITNESS: 137439887839.6861        	BEST SCORE: 37   	BEST RATIO: 0.06457242582897033      WON: 0    	WON AVG RATIO: 0                        	
GEN: 111   BEST FITNESS: 68720338536.8569         	BEST SCORE: 36   	BEST RATIO: 0.0481283422459893       WON: 0    	WON AVG RATIO: 0                        	
GEN: 112   BEST FITNESS: 137439869271.67047       	BEST SCORE: 37   	BEST RATIO: 0.050203527815468114     WON: 0    	WON AVG RATIO: 0                        	
GEN: 113   BEST FITNESS: 4398047713077.554        	BEST SCORE: 42   	BEST RATIO: 0.05570291777188329      WON: 0    	WON AVG RATIO: 0                        	
GEN: 114   BEST FITNESS: 137439870092.2794        	BEST SCORE: 37   	BEST RATIO: 0.050684931506849315     WON: 0    	WON AVG RATIO: 0                        	
GEN: 115   BEST FITNESS: 2199024398707.117        	BEST SCORE: 41   	BEST RATIO: 0.05555555555555555      WON: 0    	WON AVG RATIO: 0                        	
GEN: 116   BEST FITNESS: 274878867280.61993       	BEST SCORE: 38   	BEST RATIO: 0.046511627906976744     WON: 0    	WON AVG RATIO: 0                        	
GEN: 117   BEST FITNESS: 4398047717730.345        	BEST SCORE: 42   	BEST RATIO: 0.058333333333333334     WON: 0    	WON AVG RATIO: 0                        	
GEN: 118   BEST FITNESS: 2199024390496.2217       	BEST SCORE: 41   	BEST RATIO: 0.05131414267834793      WON: 0    	WON AVG RATIO: 0                        	
GEN: 119   BEST FITNESS: 2199024385007.279        	BEST SCORE: 41   	BEST RATIO: 0.04886769964243146      WON: 0    	WON AVG RATIO: 0                        	
GEN: 120   BEST FITNESS: 2199024367928.5          	BEST SCORE: 41   	BEST RATIO: 0.042708333333333334     WON: 0    	WON AVG RATIO: 0                        	
GEN: 121   BEST FITNESS: 4398047700600.765        	BEST SCORE: 42   	BEST RATIO: 0.0498220640569395       WON: 0    	WON AVG RATIO: 0                        	
GEN: 122   BEST FITNESS: 549756845577.2655        	BEST SCORE: 39   	BEST RATIO: 0.05627705627705628      WON: 0    	WON AVG RATIO: 0                        	
GEN: 123   BEST FITNESS: 274878874456.494         	BEST SCORE: 38   	BEST RATIO: 0.05006587615283267      WON: 0    	WON AVG RATIO: 0                        	
GEN: 124   BEST FITNESS: 1099512698817.9631       	BEST SCORE: 40   	BEST RATIO: 0.04790419161676647      WON: 0    	WON AVG RATIO: 0                        	
GEN: 125   BEST FITNESS: 35184373456123.12        	BEST SCORE: 45   	BEST RATIO: 0.048283261802575105     WON: 0    	WON AVG RATIO: 0                        	
GEN: 126   BEST FITNESS: 8796094281230.26         	BEST SCORE: 43   	BEST RATIO: 0.05422446406052964      WON: 0    	WON AVG RATIO: 0                        	
GEN: 127   BEST FITNESS: 17592187355252.168       	BEST SCORE: 44   	BEST RATIO: 0.05028571428571429      WON: 0    	WON AVG RATIO: 0                        	
GEN: 128   BEST FITNESS: 8796094286092.443        	BEST SCORE: 43   	BEST RATIO: 0.05665349143610013      WON: 0    	WON AVG RATIO: 0                        	
GEN: 129   BEST FITNESS: 35184373454363.586       	BEST SCORE: 45   	BEST RATIO: 0.04772004241781548      WON: 0    	WON AVG RATIO: 0                        	
GEN: 130   BEST FITNESS: 4398047702591.021        	BEST SCORE: 42   	BEST RATIO: 0.05066344993968637      WON: 0    	WON AVG RATIO: 0                        	
GEN: 131   BEST FITNESS: 8796094293123.348        	BEST SCORE: 43   	BEST RATIO: 0.06064880112834979      WON: 0    	WON AVG RATIO: 0                        	
GEN: 132   BEST FITNESS: 4398047700315.623        	BEST SCORE: 42   	BEST RATIO: 0.04970414201183432      WON: 0    	WON AVG RATIO: 0                        	
GEN: 133   BEST FITNESS: 35184373462940.76        	BEST SCORE: 45   	BEST RATIO: 0.05061867266591676      WON: 0    	WON AVG RATIO: 0                        	
GEN: 134   BEST FITNESS: 70368745625761.7         	BEST SCORE: 46   	BEST RATIO: 0.054373522458628844     WON: 0    	WON AVG RATIO: 0                        	
GEN: 135   BEST FITNESS: 140737489818939.88       	BEST SCORE: 47   	BEST RATIO: 0.04062229904926534      WON: 0    	WON AVG RATIO: 0                        	
GEN: 136   BEST FITNESS: 140737489851848.34       	BEST SCORE: 47   	BEST RATIO: 0.048503611971104234     WON: 0    	WON AVG RATIO: 0                        	
GEN: 137   BEST FITNESS: 35184373467794.664       	BEST SCORE: 45   	BEST RATIO: 0.05244755244755245      WON: 0    	WON AVG RATIO: 0                        	
GEN: 138   BEST FITNESS: 35184373451470.984       	BEST SCORE: 45   	BEST RATIO: 0.046826222684703434     WON: 0    	WON AVG RATIO: 0                        	
GEN: 139   BEST FITNESS: 140737489865959.97       	BEST SCORE: 47   	BEST RATIO: 0.05310734463276836      WON: 0    	WON AVG RATIO: 0                        	
GEN: 140   BEST FITNESS: 281474978301351.56       	BEST SCORE: 48   	BEST RATIO: 0.057971014492753624     WON: 0    	WON AVG RATIO: 0                        	
GEN: 141   BEST FITNESS: 281474978278681.3        	BEST SCORE: 48   	BEST RATIO: 0.04994797086368366      WON: 0    	WON AVG RATIO: 0                        	
GEN: 142   BEST FITNESS: 281474978255946.9        	BEST SCORE: 48   	BEST RATIO: 0.0440771349862259       WON: 0    	WON AVG RATIO: 0                        	
GEN: 143   BEST FITNESS: 562949955059201.2        	BEST SCORE: 49   	BEST RATIO: 0.050411522633744855     WON: 0    	WON AVG RATIO: 0                        	
GEN: 144   BEST FITNESS: 1125899908528311.0       	BEST SCORE: 50   	BEST RATIO: 0.04508566275924256      WON: 0    	WON AVG RATIO: 0                        	
GEN: 145   BEST FITNESS: 1125899908585904.2       	BEST SCORE: 50   	BEST RATIO: 0.06305170239596469      WON: 0    	WON AVG RATIO: 0                        	
GEN: 146   BEST FITNESS: 140737489856932.4        	BEST SCORE: 47   	BEST RATIO: 0.05005324813631523      WON: 0    	WON AVG RATIO: 0                        	
GEN: 147   BEST FITNESS: 4503599629206776.0       	BEST SCORE: 52   	BEST RATIO: 0.04684684684684685      WON: 0    	WON AVG RATIO: 0                        	
GEN: 148   BEST FITNESS: 140737489854396.4        	BEST SCORE: 47   	BEST RATIO: 0.049266247379454925     WON: 0    	WON AVG RATIO: 0                        	
GEN: 149   BEST FITNESS: 281474978265642.25       	BEST SCORE: 48   	BEST RATIO: 0.0463768115942029       WON: 0    	WON AVG RATIO: 0                        	
GEN: 150   BEST FITNESS: 35184373478103.59        	BEST SCORE: 45   	BEST RATIO: 0.056890012642225034     WON: 0    	WON AVG RATIO: 0                        	
GEN: 151   BEST FITNESS: 281474978296327.75       	BEST SCORE: 48   	BEST RATIO: 0.055944055944055944     WON: 0    	WON AVG RATIO: 0                        	
GEN: 152   BEST FITNESS: 281474978261172.1        	BEST SCORE: 48   	BEST RATIO: 0.045283018867924525     WON: 0    	WON AVG RATIO: 0                        	
GEN: 153   BEST FITNESS: 1125899908580519.0       	BEST SCORE: 50   	BEST RATIO: 0.06067961165048544      WON: 0    	WON AVG RATIO: 0                        	
GEN: 154   BEST FITNESS: 4503599629213558.0       	BEST SCORE: 52   	BEST RATIO: 0.048327137546468404     WON: 0    	WON AVG RATIO: 0                        	
GEN: 155   BEST FITNESS: 2251799815453849.5       	BEST SCORE: 51   	BEST RATIO: 0.04784240150093809      WON: 0    	WON AVG RATIO: 0                        	
GEN: 156   BEST FITNESS: 70368745603264.02        	BEST SCORE: 46   	BEST RATIO: 0.046747967479674794     WON: 0    	WON AVG RATIO: 0                        	
GEN: 157   BEST FITNESS: 1125899908543429.0       	BEST SCORE: 50   	BEST RATIO: 0.04859086491739553      WON: 0    	WON AVG RATIO: 0                        	
GEN: 158   BEST FITNESS: 562949955061704.9        	BEST SCORE: 49   	BEST RATIO: 0.0511482254697286       WON: 0    	WON AVG RATIO: 0                        	
GEN: 159   BEST FITNESS: 35184373426915.664       	BEST SCORE: 45   	BEST RATIO: 0.04054054054054054      WON: 0    	WON AVG RATIO: 0                        	
GEN: 160   BEST FITNESS: 562949955026076.9        	BEST SCORE: 49   	BEST RATIO: 0.042534722222222224     WON: 0    	WON AVG RATIO: 0                        	
GEN: 161   BEST FITNESS: 281474978293118.3        	BEST SCORE: 48   	BEST RATIO: 0.05473204104903079      WON: 0    	WON AVG RATIO: 0                        	
GEN: 162   BEST FITNESS: 1125899908569208.5       	BEST SCORE: 50   	BEST RATIO: 0.05630630630630631      WON: 0    	WON AVG RATIO: 0                        	
GEN: 163   BEST FITNESS: 140737489841884.75       	BEST SCORE: 47   	BEST RATIO: 0.045764362220058426     WON: 0    	WON AVG RATIO: 0                        	
GEN: 164   BEST FITNESS: 70368745591132.97        	BEST SCORE: 46   	BEST RATIO: 0.043560606060606064     WON: 0    	WON AVG RATIO: 0                        	
GEN: 165   BEST FITNESS: 562949955062952.5        	BEST SCORE: 49   	BEST RATIO: 0.05152471083070452      WON: 0    	WON AVG RATIO: 0                        	
GEN: 166   BEST FITNESS: 140737489831573.62       	BEST SCORE: 47   	BEST RATIO: 0.0432780847145488       WON: 0    	WON AVG RATIO: 0                        	
GEN: 167   BEST FITNESS: 70368745598240.86        	BEST SCORE: 46   	BEST RATIO: 0.045364891518737675     WON: 0    	WON AVG RATIO: 0                        	
GEN: 168   BEST FITNESS: 140737489874172.06       	BEST SCORE: 47   	BEST RATIO: 0.0562874251497006       WON: 0    	WON AVG RATIO: 0                        	
GEN: 169   BEST FITNESS: 562949955027396.2        	BEST SCORE: 49   	BEST RATIO: 0.04279475982532751      WON: 0    	WON AVG RATIO: 0                        	
GEN: 170   BEST FITNESS: 140737489859456.2        	BEST SCORE: 47   	BEST RATIO: 0.050865800865800864     WON: 0    	WON AVG RATIO: 0                        	
GEN: 171   BEST FITNESS: 140737489857269.62       	BEST SCORE: 47   	BEST RATIO: 0.05016008537886873      WON: 0    	WON AVG RATIO: 0                        	
GEN: 172   BEST FITNESS: 562949955048349.4        	BEST SCORE: 49   	BEST RATIO: 0.04748062015503876      WON: 0    	WON AVG RATIO: 0                        	
GEN: 173   BEST FITNESS: 140737489852869.0        	BEST SCORE: 47   	BEST RATIO: 0.04880581516095535      WON: 0    	WON AVG RATIO: 0                        	
GEN: 174   BEST FITNESS: 35184373453240.65        	BEST SCORE: 45   	BEST RATIO: 0.04736842105263158      WON: 0    	WON AVG RATIO: 0                        	
GEN: 175   BEST FITNESS: 562949955055425.5        	BEST SCORE: 49   	BEST RATIO: 0.04934541792547835      WON: 0    	WON AVG RATIO: 0                        	
GEN: 176   BEST FITNESS: 1.4411518807812598e+17   	BEST SCORE: 57   	BEST RATIO: 0.057750759878419454     WON: 0    	WON AVG RATIO: 0                        	
GEN: 177   BEST FITNESS: 35184373489186.07        	BEST SCORE: 45   	BEST RATIO: 0.06276150627615062      WON: 0    	WON AVG RATIO: 0                        	
