GEN: 1     BEST FITNESS: 2149.890070823094        	BEST SCORE: 2    	BEST RATIO: 0.25                     WON: 0    	
GEN: 197   BEST FITNESS: 2.361183241434826e+21    	BEST SCORE: 71   	BEST RATIO: 0.043478260869565216     WON: 0    	
GEN: 198   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.033849129593810444     WON: 0    	
GEN: 199   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.04284037558685446      WON: 0    	
GEN: 200   BEST FITNESS: 5.902958103587089e+20    	BEST SCORE: 69   	BEST RATIO: 0.038829487900956666     WON: 0    	
GEN: 201   BEST FITNESS: 2.951479051793559e+20    	BEST SCORE: 68   	BEST RATIO: 0.038946162657502864     WON: 0    	
GEN: 202   BEST FITNESS: 7.378697629484119e+19    	BEST SCORE: 66   	BEST RATIO: 0.045454545454545456     WON: 0    	
GEN: 203   BEST FITNESS: 1.475739525896794e+20    	BEST SCORE: 67   	BEST RATIO: 0.03841743119266055      WON: 0    	
GEN: 204   BEST FITNESS: 1.8889465931478585e+22   	BEST SCORE: 74   	BEST RATIO: 0.04030501089324619      WON: 0    	
GEN: 205   BEST FITNESS: 1.1805916207174147e+21   	BEST SCORE: 70   	BEST RATIO: 0.04455760661998727      WON: 0    	
GEN: 206   BEST FITNESS: 1.2089258196146292e+24   	BEST SCORE: 80   	BEST RATIO: 0.04321988114532685      WON: 0    	
GEN: 207   BEST FITNESS: 3.022314549036573e+23    	BEST SCORE: 78   	BEST RATIO: 0.040987913820283765     WON: 0    	
GEN: 208   BEST FITNESS: 1.5474250491067253e+26   	BEST SCORE: 87   	BEST RATIO: 0.043456543456543456     WON: 0    	
GEN: 209   BEST FITNESS: 1.9342813113834067e+25   	BEST SCORE: 84   	BEST RATIO: 0.04432717678100264      WON: 0    	
