GEN: 91    BEST FITNESS: 474093.1020046051        	BEST SCORE: 18   	BEST RATIO: 0.1                      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 92    BEST FITNESS: 759774.3153170364        	BEST SCORE: 19   	BEST RATIO: 0.07883817427385892      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 93    BEST FITNESS: 758985.9886128713        	BEST SCORE: 19   	BEST RATIO: 0.07251908396946564      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 94    BEST FITNESS: 4514979.712399337        	BEST SCORE: 22   	BEST RATIO: 0.08494208494208494      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 95    BEST FITNESS: 1312218.2728661539       	BEST SCORE: 20   	BEST RATIO: 0.09345794392523364      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 96    BEST FITNESS: 760541.7372552124        	BEST SCORE: 19   	BEST RATIO: 0.08636363636363636      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 97    BEST FITNESS: 2388410.606469378        	BEST SCORE: 21   	BEST RATIO: 0.08713692946058091      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 98    BEST FITNESS: 17165267.970894024       	BEST SCORE: 24   	BEST RATIO: 0.11320754716981132      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 99    BEST FITNESS: 67563914.57066585        	BEST SCORE: 26   	BEST RATIO: 0.08783783783783784      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 100   BEST FITNESS: 4295671164.720742        	BEST SCORE: 32   	BEST RATIO: 0.0943952802359882       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 101   BEST FITNESS: 33971058.88364147        	BEST SCORE: 25   	BEST RATIO: 0.07530120481927711      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 102   BEST FITNESS: 67563507.33413757        	BEST SCORE: 26   	BEST RATIO: 0.0858085808580858       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 103   BEST FITNESS: 4514431.542464914        	BEST SCORE: 22   	BEST RATIO: 0.08118081180811808      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 104   BEST FITNESS: 67563097.21647261        	BEST SCORE: 26   	BEST RATIO: 0.08387096774193549      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 105   BEST FITNESS: 268961929.6119665        	BEST SCORE: 28   	BEST RATIO: 0.07197943444730077      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 106   BEST FITNESS: 537441567.7045561        	BEST SCORE: 29   	BEST RATIO: 0.08454810495626822      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 107   BEST FITNESS: 2148138923.1669674       	BEST SCORE: 31   	BEST RATIO: 0.08288770053475936      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 108   BEST FITNESS: 268967006.8719358        	BEST SCORE: 28   	BEST RATIO: 0.08945686900958466      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 109   BEST FITNESS: 268964710.3911651        	BEST SCORE: 28   	BEST RATIO: 0.08045977011494253      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 110   BEST FITNESS: 33974015.13193006        	BEST SCORE: 25   	BEST RATIO: 0.08960573476702509      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 111   BEST FITNESS: 2148132070.4909573       	BEST SCORE: 31   	BEST RATIO: 0.06739130434782609      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 112   BEST FITNESS: 537443819.1616846        	BEST SCORE: 29   	BEST RATIO: 0.0935483870967742       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 113   BEST FITNESS: 268967264.5350347        	BEST SCORE: 28   	BEST RATIO: 0.09061488673139159      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 114   BEST FITNESS: 537441913.2523843        	BEST SCORE: 29   	BEST RATIO: 0.08579881656804733      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 115   BEST FITNESS: 4295667756.829591        	BEST SCORE: 32   	BEST RATIO: 0.08376963350785341      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 116   BEST FITNESS: 4295672246.966789        	BEST SCORE: 32   	BEST RATIO: 0.09846153846153846      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 117   BEST FITNESS: 68720362223.9044         	BEST SCORE: 36   	BEST RATIO: 0.06792452830188679      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
