GEN: 102   AVG SCORE: 8.367272727272727     	AVG RATIO: 0.04362566213921354   	BEST SCORE: 41   	BEST RATIO: 0.061933534743202415  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 103   AVG SCORE: 9.216363636363637     	AVG RATIO: 0.04390379813426346   	BEST SCORE: 39   	BEST RATIO: 0.06435643564356436   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 104   AVG SCORE: 8.856363636363636     	AVG RATIO: 0.047455016107384757  	BEST SCORE: 41   	BEST RATIO: 0.05394736842105263   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 105   AVG SCORE: 8.75090909090909      	AVG RATIO: 0.0412402006848253    	BEST SCORE: 38   	BEST RATIO: 0.05873261205564142   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 106   AVG SCORE: 9.118181818181819     	AVG RATIO: 0.04707830928295014   	BEST SCORE: 39   	BEST RATIO: 0.06759098786828423   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 107   AVG SCORE: 9.62                  	AVG RATIO: 0.04702137155158865   	BEST SCORE: 37   	BEST RATIO: 0.061872909698996656  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 108   AVG SCORE: 8.99909090909091      	AVG RATIO: 0.04528800465135403   	BEST SCORE: 37   	BEST RATIO: 0.058823529411764705  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 109   AVG SCORE: 9.423636363636364     	AVG RATIO: 0.04372459923673346   	BEST SCORE: 36   	BEST RATIO: 0.05901639344262295   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 110   AVG SCORE: 9.185454545454546     	AVG RATIO: 0.042326598392896576  	BEST SCORE: 40   	BEST RATIO: 0.06655574043261231   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 111   AVG SCORE: 10.045454545454545    	AVG RATIO: 0.04511996027111469   	BEST SCORE: 46   	BEST RATIO: 0.06515580736543909   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
