GEN: 89    AVG FITNESS: 1.0296794521489606e+16	AVG SCORE: 5.891818181818182     	AVG RATIO: 0.027319759528650078  	BEST FITNESS: 4.611686018429906e+18 	BEST SCORE: 62   	BEST RATIO: 0.035107587768969425  WON: 0    	WON AVG RATIO: 0                     	
GEN: 90    AVG FITNESS: 7.657969564054718e+16 	AVG SCORE: 5.97                  	AVG RATIO: 0.02539839224703956   	BEST FITNESS: 7.3786976294841e+19   	BEST SCORE: 66   	BEST RATIO: 0.03206997084548105   WON: 0    	WON AVG RATIO: 0                     	
GEN: 91    AVG FITNESS: 1.5565414889224637e+17	AVG SCORE: 6.036363636363636     	AVG RATIO: 0.02383944652939426   	BEST FITNESS: 1.475739525896792e+20 	BEST SCORE: 67   	BEST RATIO: 0.028929188255613126  WON: 0    	WON AVG RATIO: 0                     	
GEN: 92    AVG FITNESS: 4.5902194323184456e+16	AVG SCORE: 6.535454545454545     	AVG RATIO: 0.020449847719095138  	BEST FITNESS: 1.8446744073712247e+19	BEST SCORE: 64   	BEST RATIO: 0.03569436698271054   WON: 0    	WON AVG RATIO: 0                     	
GEN: 93    AVG FITNESS: 2.2955144716200188e+16	AVG SCORE: 6.708181818181818     	AVG RATIO: 0.024365135005125067  	BEST FITNESS: 1.844674407371228e+19 	BEST SCORE: 64   	BEST RATIO: 0.03814064362336114   WON: 0    	WON AVG RATIO: 0                     	
GEN: 94    AVG FITNESS: 1.760943278506288e+17 	AVG SCORE: 6.83                  	AVG RATIO: 0.025562813783442346  	BEST FITNESS: 1.475739525896793e+20 	BEST SCORE: 67   	BEST RATIO: 0.032940019665683384  WON: 0    	WON AVG RATIO: 0                     	
GEN: 95    AVG FITNESS: 6.33640703772091e+17  	AVG SCORE: 6.093636363636364     	AVG RATIO: 0.02417268300331569   	BEST FITNESS: 5.902958103587088e+20 	BEST SCORE: 69   	BEST RATIO: 0.03409090909090909   WON: 0    	WON AVG RATIO: 0                     	
GEN: 96    AVG FITNESS: 3.4023672830722157e+17	AVG SCORE: 6.897272727272727     	AVG RATIO: 0.024731949419867005  	BEST FITNESS: 2.951479051793559e+20 	BEST SCORE: 68   	BEST RATIO: 0.0356020942408377    WON: 0    	WON AVG RATIO: 0                     	
GEN: 97    AVG FITNESS: 4.433423223614121e+21 	AVG SCORE: 7.044545454545455     	AVG RATIO: 0.02638217027751741   	BEST FITNESS: 4.835703278458517e+24 	BEST SCORE: 82   	BEST RATIO: 0.036251105216622455  WON: 0    	WON AVG RATIO: 0                     	
GEN: 98    AVG FITNESS: 1.3648031565630142e+19	AVG SCORE: 7.360909090909091     	AVG RATIO: 0.027484050966013314  	BEST FITNESS: 9.444732965739295e+21 	BEST SCORE: 73   	BEST RATIO: 0.03772609819121447   WON: 0    	WON AVG RATIO: 0                     	
