GEN: 131   BEST FITNESS: 2251799815406141.5       	BEST SCORE: 51   	BEST RATIO: 0.03908045977011494      WON: 0    	WON AVG RATIO: 0                        	
GEN: 132   BEST FITNESS: 2.882303761540493e+17    	BEST SCORE: 58   	BEST RATIO: 0.053953488372093024     WON: 0    	WON AVG RATIO: 0                        	
GEN: 133   BEST FITNESS: 2.882303761539898e+17    	BEST SCORE: 58   	BEST RATIO: 0.0436418359668924       WON: 0    	WON AVG RATIO: 0                        	
GEN: 134   BEST FITNESS: 7.205759404004123e+16    	BEST SCORE: 56   	BEST RATIO: 0.042748091603053436     WON: 0    	WON AVG RATIO: 0                        	
GEN: 135   BEST FITNESS: 1.4411518807804374e+17   	BEST SCORE: 57   	BEST RATIO: 0.04225352112676056      WON: 0    	WON AVG RATIO: 0                        	
GEN: 136   BEST FITNESS: 1.4411518807807552e+17   	BEST SCORE: 57   	BEST RATIO: 0.04699093157460841      WON: 0    	WON AVG RATIO: 0                        	
GEN: 137   BEST FITNESS: 5.764607523057674e+17    	BEST SCORE: 59   	BEST RATIO: 0.04172560113154172      WON: 0    	WON AVG RATIO: 0                        	
GEN: 138   BEST FITNESS: 1.8446744073712374e+19   	BEST SCORE: 64   	BEST RATIO: 0.04765450483991065      WON: 0    	WON AVG RATIO: 0                        	
GEN: 139   BEST FITNESS: 1.844674407371227e+19    	BEST SCORE: 64   	BEST RATIO: 0.03771361225692398      WON: 0    	WON AVG RATIO: 0                        	
GEN: 140   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.04585427135678392      WON: 0    	WON AVG RATIO: 0                        	
GEN: 141   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.045283018867924525     WON: 0    	WON AVG RATIO: 0                        	
GEN: 142   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.03993154592127781      WON: 0    	WON AVG RATIO: 0                        	
GEN: 143   BEST FITNESS: 2.361183241434826e+21    	BEST SCORE: 71   	BEST RATIO: 0.04269392663860493      WON: 0    	WON AVG RATIO: 0                        	
GEN: 144   BEST FITNESS: 2.9514790517935604e+20   	BEST SCORE: 68   	BEST RATIO: 0.04878048780487805      WON: 0    	WON AVG RATIO: 0                        	
GEN: 145   BEST FITNESS: 1.1805916207174147e+21   	BEST SCORE: 70   	BEST RATIO: 0.045425048669695        WON: 0    	WON AVG RATIO: 0                        	
GEN: 146   BEST FITNESS: 1.844674407371238e+19    	BEST SCORE: 64   	BEST RATIO: 0.04852160727824109      WON: 0    	WON AVG RATIO: 0                        	
GEN: 147   BEST FITNESS: 9.22337203685747e+18     	BEST SCORE: 63   	BEST RATIO: 0.04318026045236463      WON: 0    	WON AVG RATIO: 0                        	
GEN: 148   BEST FITNESS: 2.882303761539791e+17    	BEST SCORE: 58   	BEST RATIO: 0.04224326292789512      WON: 0    	WON AVG RATIO: 0                        	
GEN: 149   BEST FITNESS: 2.951479051793559e+20    	BEST SCORE: 68   	BEST RATIO: 0.038946162657502864     WON: 0    	WON AVG RATIO: 0                        	
GEN: 150   BEST FITNESS: 1.84467440737123e+19     	BEST SCORE: 64   	BEST RATIO: 0.039776258545680544     WON: 0    	WON AVG RATIO: 0                        	
GEN: 151   BEST FITNESS: 6.044629098073146e+23    	BEST SCORE: 79   	BEST RATIO: 0.04249596557288865      WON: 0    	WON AVG RATIO: 0                        	
GEN: 152   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.04240282685512368      WON: 0    	WON AVG RATIO: 0                        	
GEN: 153   BEST FITNESS: 3.689348814742207e+19    	BEST SCORE: 65   	BEST RATIO: 0.05541346973572037      WON: 0    	WON AVG RATIO: 0                        	
GEN: 154   BEST FITNESS: 1.5111572745182865e+23   	BEST SCORE: 77   	BEST RATIO: 0.04435483870967742      WON: 0    	WON AVG RATIO: 0                        	
GEN: 155   BEST FITNESS: 1.4757395258967953e+20   	BEST SCORE: 67   	BEST RATIO: 0.04890510948905109      WON: 0    	WON AVG RATIO: 0                        	
GEN: 156   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.04129793510324484      WON: 0    	WON AVG RATIO: 0                        	
GEN: 157   BEST FITNESS: 7.378697629484117e+19    	BEST SCORE: 66   	BEST RATIO: 0.04302477183833116      WON: 0    	WON AVG RATIO: 0                        	
GEN: 158   BEST FITNESS: 1.1805916207174147e+21   	BEST SCORE: 70   	BEST RATIO: 0.05102040816326531      WON: 0    	WON AVG RATIO: 0                        	
GEN: 159   BEST FITNESS: 2.4178516392292583e+24   	BEST SCORE: 81   	BEST RATIO: 0.04371289800323799      WON: 0    	WON AVG RATIO: 0                        	
GEN: 160   BEST FITNESS: 3.777893186295717e+22    	BEST SCORE: 75   	BEST RATIO: 0.04317789291882556      WON: 0    	WON AVG RATIO: 0                        	
GEN: 161   BEST FITNESS: 1.2089258196146292e+24   	BEST SCORE: 80   	BEST RATIO: 0.042643923240938165     WON: 0    	WON AVG RATIO: 0                        	
