GEN: 77    BEST FITNESS: 21.137323943661972       	BEST SCORE: 23   	BEST RATIO: 0.08812260536398467      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 78    BEST FITNESS: 23.40153452685422        	BEST SCORE: 25   	BEST RATIO: 0.06830601092896176      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 79    BEST FITNESS: 23.6113074204947         	BEST SCORE: 26   	BEST RATIO: 0.10116731517509728      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 80    BEST FITNESS: 20.307692307692307       	BEST SCORE: 22   	BEST RATIO: 0.08333333333333333      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 81    BEST FITNESS: 24.127423822714682       	BEST SCORE: 26   	BEST RATIO: 0.07761194029850746      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 82    BEST FITNESS: 28.409703504043126       	BEST SCORE: 31   	BEST RATIO: 0.09117647058823529      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 83    BEST FITNESS: 22.300884955752213       	BEST SCORE: 24   	BEST RATIO: 0.0761904761904762       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 84    BEST FITNESS: 22.17142857142857        	BEST SCORE: 24   	BEST RATIO: 0.08247422680412371      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 85    BEST FITNESS: 23.19364161849711        	BEST SCORE: 25   	BEST RATIO: 0.0778816199376947       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 86    BEST FITNESS: 27.959183673469386       	BEST SCORE: 30   	BEST RATIO: 0.072992700729927        WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 87    BEST FITNESS: 25.875338753387535       	BEST SCORE: 28   	BEST RATIO: 0.08211143695014662      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
