GEN: 65    AVG FITNESS: 9033.404761904774        	AVG SCORE: 0.354     	AVG RATIO: 0.04336109750122489      	BEST FITNESS: 58571.42857142858        	BEST SCORE: 5    	BEST RATIO: 0.05813953488372093      TOO_OLD: 8       	WON: 0    	
GEN: 66    AVG FITNESS: 8971.904761904772        	AVG SCORE: 0.347     	AVG RATIO: 0.04476264189886481      	BEST FITNESS: 58571.428571428565       	BEST SCORE: 5    	BEST RATIO: 0.1724137931034483       TOO_OLD: 4       	WON: 0    	
GEN: 67    AVG FITNESS: 9071.333333333347        	AVG SCORE: 0.356     	AVG RATIO: 0.04516620147170769      	BEST FITNESS: 68750.0                  	BEST SCORE: 6    	BEST RATIO: 0.11538461538461539      TOO_OLD: 7       	WON: 0    	
GEN: 68    AVG FITNESS: 9030.809523809543        	AVG SCORE: 0.352     	AVG RATIO: 0.042009786370688626     	BEST FITNESS: 58571.428571428565       	BEST SCORE: 5    	BEST RATIO: 0.1724137931034483       TOO_OLD: 10      	WON: 0    	
GEN: 69    AVG FITNESS: 9550.97222222223         	AVG SCORE: 0.4       	AVG RATIO: 0.04499943750703117      	BEST FITNESS: 78888.88888888889        	BEST SCORE: 7    	BEST RATIO: 0.1                      TOO_OLD: 6       	WON: 0    	
GEN: 70    AVG FITNESS: 9773.392857142855        	AVG SCORE: 0.419     	AVG RATIO: 0.04415639161133944      	BEST FITNESS: 68750.0                  	BEST SCORE: 6    	BEST RATIO: 0.10344827586206896      TOO_OLD: 12      	WON: 0    	
GEN: 71    AVG FITNESS: 10500.595238095231       	AVG SCORE: 0.486     	AVG RATIO: 0.04863404383068148      	BEST FITNESS: 68750.0                  	BEST SCORE: 6    	BEST RATIO: 0.13953488372093023      TOO_OLD: 12      	WON: 0    	
GEN: 72    AVG FITNESS: 10005.047619047611       	AVG SCORE: 0.441     	AVG RATIO: 0.043159130945390485     	BEST FITNESS: 58571.428571428565       	BEST SCORE: 5    	BEST RATIO: 0.16129032258064516      TOO_OLD: 18      	WON: 0    	
GEN: 73    AVG FITNESS: 11312.50793650792        	AVG SCORE: 0.56      	AVG RATIO: 0.04551365409622887      	BEST FITNESS: 89000.0                  	BEST SCORE: 8    	BEST RATIO: 0.0898876404494382       TOO_OLD: 17      	WON: 0    	
GEN: 74    AVG FITNESS: 11071.2976190476         	AVG SCORE: 0.537     	AVG RATIO: 0.04384389288047029      	BEST FITNESS: 68750.0                  	BEST SCORE: 6    	BEST RATIO: 0.07407407407407407      TOO_OLD: 26      	WON: 0    	
GEN: 75    AVG FITNESS: 11084.781746031746       	AVG SCORE: 0.539     	AVG RATIO: 0.041997818295153505     	BEST FITNESS: 89000.0                  	BEST SCORE: 8    	BEST RATIO: 0.12903225806451613      TOO_OLD: 26      	WON: 0    	
GEN: 76    AVG FITNESS: 11503.75757575756        	AVG SCORE: 0.578     	AVG RATIO: 0.04418960244648318      	BEST FITNESS: 99090.90909090909        	BEST SCORE: 9    	BEST RATIO: 0.12857142857142856      TOO_OLD: 27      	WON: 0    	
GEN: 77    AVG FITNESS: 11721.698412698399       	AVG SCORE: 0.598     	AVG RATIO: 0.044110053846721245     	BEST FITNESS: 78888.88888888889        	BEST SCORE: 7    	BEST RATIO: 0.08974358974358974      TOO_OLD: 28      	WON: 0    	
GEN: 78    AVG FITNESS: 12048.396825396814       	AVG SCORE: 0.627     	AVG RATIO: 0.040932236584410496     	BEST FITNESS: 89000.0                  	BEST SCORE: 8    	BEST RATIO: 0.07142857142857142      TOO_OLD: 44      	WON: 0    	
GEN: 79    AVG FITNESS: 12801.496031746005       	AVG SCORE: 0.696     	AVG RATIO: 0.05150214592274678      	BEST FITNESS: 129285.71428571429       	BEST SCORE: 12   	BEST RATIO: 0.08053691275167785      TOO_OLD: 26      	WON: 0    	
GEN: 80    AVG FITNESS: 12047.911976911946       	AVG SCORE: 0.626     	AVG RATIO: 0.04736324430657486      	BEST FITNESS: 99090.90909090909        	BEST SCORE: 9    	BEST RATIO: 0.0891089108910891       TOO_OLD: 22      	WON: 0    	
GEN: 81    AVG FITNESS: 12399.99531024529        	AVG SCORE: 0.658     	AVG RATIO: 0.05025970058050718      	BEST FITNESS: 99090.90909090909        	BEST SCORE: 9    	BEST RATIO: 0.13043478260869565      TOO_OLD: 21      	WON: 0    	
GEN: 82    AVG FITNESS: 13884.269841269792       	AVG SCORE: 0.797     	AVG RATIO: 0.055710890535439685     	BEST FITNESS: 109166.66666666666       	BEST SCORE: 10   	BEST RATIO: 0.08333333333333333      TOO_OLD: 19      	WON: 0    	
GEN: 83    AVG FITNESS: 13445.789682539642       	AVG SCORE: 0.757     	AVG RATIO: 0.051349884683218015     	BEST FITNESS: 89000.0                  	BEST SCORE: 8    	BEST RATIO: 0.08695652173913043      TOO_OLD: 26      	WON: 0    	
