GEN: 120   BEST FITNESS: 7.378697629484109e+19    	BEST SCORE: 66   	BEST RATIO: 0.036646307606885066     WON: 0    	WON AVG RATIO: 0                        	
GEN: 121   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.03870625662778367      WON: 0    	WON AVG RATIO: 0                        	
GEN: 122   BEST FITNESS: 7.378697629484112e+19    	BEST SCORE: 66   	BEST RATIO: 0.03864168618266979      WON: 0    	WON AVG RATIO: 0                        	
GEN: 123   BEST FITNESS: 2.95147905179356e+20     	BEST SCORE: 68   	BEST RATIO: 0.04153940134392181      WON: 0    	WON AVG RATIO: 0                        	
GEN: 124   BEST FITNESS: 4.611686018430022e+18    	BEST SCORE: 62   	BEST RATIO: 0.04623415361670395      WON: 0    	WON AVG RATIO: 0                        	
GEN: 125   BEST FITNESS: 1.5111572745182865e+23   	BEST SCORE: 77   	BEST RATIO: 0.045942720763723154     WON: 0    	WON AVG RATIO: 0                        	
GEN: 126   BEST FITNESS: 3.777893186295717e+22    	BEST SCORE: 75   	BEST RATIO: 0.04030091348737238      WON: 0    	WON AVG RATIO: 0                        	
GEN: 127   BEST FITNESS: 7.555786372591432e+22    	BEST SCORE: 76   	BEST RATIO: 0.04428904428904429      WON: 0    	WON AVG RATIO: 0                        	
GEN: 128   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.041500852757248435     WON: 0    	WON AVG RATIO: 0                        	
GEN: 129   BEST FITNESS: 3.689348814742189e+19    	BEST SCORE: 65   	BEST RATIO: 0.036619718309859155     WON: 0    	WON AVG RATIO: 0                        	
GEN: 130   BEST FITNESS: 9.223372036857502e+18    	BEST SCORE: 63   	BEST RATIO: 0.046875                 WON: 0    	WON AVG RATIO: 0                        	
GEN: 131   BEST FITNESS: 1.1529215046092692e+18   	BEST SCORE: 60   	BEST RATIO: 0.04126547455295736      WON: 0    	WON AVG RATIO: 0                        	
GEN: 132   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.03899721448467967      WON: 0    	WON AVG RATIO: 0                        	
GEN: 133   BEST FITNESS: 2.4178516392292583e+24   	BEST SCORE: 81   	BEST RATIO: 0.04361873990306947      WON: 0    	WON AVG RATIO: 0                        	
GEN: 134   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.037493304767005894     WON: 0    	WON AVG RATIO: 0                        	
GEN: 135   BEST FITNESS: 6.044629098073146e+23    	BEST SCORE: 79   	BEST RATIO: 0.049221183800623056     WON: 0    	WON AVG RATIO: 0                        	
GEN: 136   BEST FITNESS: 7.737125245533627e+25    	BEST SCORE: 86   	BEST RATIO: 0.044444444444444446     WON: 0    	WON AVG RATIO: 0                        	
GEN: 137   BEST FITNESS: 3.022314549036573e+23    	BEST SCORE: 78   	BEST RATIO: 0.045936395759717315     WON: 0    	WON AVG RATIO: 0                        	
GEN: 138   BEST FITNESS: 5.902958103587089e+20    	BEST SCORE: 69   	BEST RATIO: 0.04530531845042679      WON: 0    	WON AVG RATIO: 0                        	
GEN: 139   BEST FITNESS: 3.022314549036573e+23    	BEST SCORE: 78   	BEST RATIO: 0.03531009506564056      WON: 0    	WON AVG RATIO: 0                        	
