GEN: 83    AVG FITNESS: 0.3547497038333682       	AVG SCORE: 0.388     	AVG RATIO: 0.027609763039920302     	BEST FITNESS: 3.5555555555555554       	BEST SCORE: 4    	BEST RATIO: 0.125                    TOO_OLD: 29      	WON: 0    	
GEN: 84    AVG FITNESS: 0.36734185185587787      	AVG SCORE: 0.404     	AVG RATIO: 0.027106816961889428     	BEST FITNESS: 3.4285714285714284       	BEST SCORE: 4    	BEST RATIO: 0.16666666666666666      TOO_OLD: 37      	WON: 0    	
GEN: 85    AVG FITNESS: 0.3650828149614917       	AVG SCORE: 0.401     	AVG RATIO: 0.02904744657732706      	BEST FITNESS: 4.609375                 	BEST SCORE: 5    	BEST RATIO: 0.0847457627118644       TOO_OLD: 22      	WON: 0    	
GEN: 86    AVG FITNESS: 0.3421606955488461       	AVG SCORE: 0.376     	AVG RATIO: 0.025836597265168692     	BEST FITNESS: 3.238095238095238        	BEST SCORE: 4    	BEST RATIO: 0.23529411764705882      TOO_OLD: 38      	WON: 0    	
GEN: 87    AVG FITNESS: 0.35655868584955186      	AVG SCORE: 0.391     	AVG RATIO: 0.02662399564210813      	BEST FITNESS: 2.769230769230769        	BEST SCORE: 4    	BEST RATIO: 0.4444444444444444       TOO_OLD: 36      	WON: 0    	
GEN: 88    AVG FITNESS: 0.38943611503744757      	AVG SCORE: 0.424     	AVG RATIO: 0.02721612426985044      	BEST FITNESS: 16.993788819875775       	BEST SCORE: 18   	BEST RATIO: 0.05921052631578947      TOO_OLD: 38      	WON: 0    	
GEN: 89    AVG FITNESS: 0.3594281070502347       	AVG SCORE: 0.391     	AVG RATIO: 0.024188060624806683     	BEST FITNESS: 14.29245283018868        	BEST SCORE: 15   	BEST RATIO: 0.04950495049504951      TOO_OLD: 42      	WON: 0    	
GEN: 90    AVG FITNESS: 0.38793030016690344      	AVG SCORE: 0.422     	AVG RATIO: 0.02821044187445685      	BEST FITNESS: 17.899390243902438       	BEST SCORE: 19   	BEST RATIO: 0.061488673139158574     TOO_OLD: 31      	WON: 0    	
GEN: 91    AVG FITNESS: 0.48430813517825205      	AVG SCORE: 0.526     	AVG RATIO: 0.03190198932557011      	BEST FITNESS: 17.919161676646706       	BEST SCORE: 19   	BEST RATIO: 0.06031746031746032      TOO_OLD: 29      	WON: 0    	
GEN: 92    AVG FITNESS: 0.5273118316581006       	AVG SCORE: 0.572     	AVG RATIO: 0.03390835259944276      	BEST FITNESS: 21.918200408997954       	BEST SCORE: 23   	BEST RATIO: 0.04935622317596566      TOO_OLD: 37      	WON: 0    	
GEN: 93    AVG FITNESS: 0.5106697082955678       	AVG SCORE: 0.552     	AVG RATIO: 0.03474320241691843      	BEST FITNESS: 16.813186813186814       	BEST SCORE: 18   	BEST RATIO: 0.07058823529411765      TOO_OLD: 29      	WON: 0    	
GEN: 94    AVG FITNESS: 0.5758800420936887       	AVG SCORE: 0.62      	AVG RATIO: 0.03345022929592662      	BEST FITNESS: 12.334645669291339       	BEST SCORE: 13   	BEST RATIO: 0.05394190871369295      TOO_OLD: 55      	WON: 0    	
GEN: 95    AVG FITNESS: 0.6181444046326238       	AVG SCORE: 0.667     	AVG RATIO: 0.03145484555529357      	BEST FITNESS: 16.739299610894943       	BEST SCORE: 18   	BEST RATIO: 0.07531380753138076      TOO_OLD: 71      	WON: 0    	
GEN: 96    AVG FITNESS: 0.6740464186430859       	AVG SCORE: 0.721     	AVG RATIO: 0.029476696647587897     	BEST FITNESS: 19.75423728813559        	BEST SCORE: 21   	BEST RATIO: 0.06306306306306306      TOO_OLD: 94      	WON: 0    	
GEN: 97    AVG FITNESS: 0.8381383196086695       	AVG SCORE: 0.894     	AVG RATIO: 0.03034108264042084      	BEST FITNESS: 19.91111111111111        	BEST SCORE: 21   	BEST RATIO: 0.0546875                TOO_OLD: 123     	WON: 0    	
GEN: 98    AVG FITNESS: 1.0225754963636249       	AVG SCORE: 1.087     	AVG RATIO: 0.03197529048389469      	BEST FITNESS: 26.619718309859156       	BEST SCORE: 28   	BEST RATIO: 0.05185185185185185      TOO_OLD: 131     	WON: 0    	
GEN: 99    AVG FITNESS: 1.24348170034476         	AVG SCORE: 1.315     	AVG RATIO: 0.031189222522650727     	BEST FITNESS: 21.80316742081448        	BEST SCORE: 23   	BEST RATIO: 0.05489260143198091      TOO_OLD: 173     	WON: 0    	
GEN: 100   AVG FITNESS: 1.4421684692188819       	AVG SCORE: 1.524     	AVG RATIO: 0.03146420018168305      	BEST FITNESS: 23.879928315412187       	BEST SCORE: 25   	BEST RATIO: 0.04690431519699812      TOO_OLD: 196     	WON: 0    	
GEN: 101   AVG FITNESS: 1.5187170517545587       	AVG SCORE: 1.607     	AVG RATIO: 0.032405073501240146     	BEST FITNESS: 32.36953455571227        	BEST SCORE: 34   	BEST RATIO: 0.05037037037037037      TOO_OLD: 203     	WON: 0    	
GEN: 102   AVG FITNESS: 1.5365655905100861       	AVG SCORE: 1.623     	AVG RATIO: 0.03227731042300579      	BEST FITNESS: 22.829268292682926       	BEST SCORE: 24   	BEST RATIO: 0.05128205128205128      TOO_OLD: 198     	WON: 0    	
GEN: 103   AVG FITNESS: 1.6941053128507413       	AVG SCORE: 1.788     	AVG RATIO: 0.03279891404042998      	BEST FITNESS: 25.487551867219917       	BEST SCORE: 27   	BEST RATIO: 0.05934065934065934      TOO_OLD: 211     	WON: 0    	
GEN: 104   AVG FITNESS: 1.607322974736075        	AVG SCORE: 1.697     	AVG RATIO: 0.03120862145063999      	BEST FITNESS: 24.75735294117647        	BEST SCORE: 26   	BEST RATIO: 0.05019305019305019      TOO_OLD: 233     	WON: 0    	
GEN: 105   AVG FITNESS: 1.569319582347132        	AVG SCORE: 1.653     	AVG RATIO: 0.03129377910719019      	BEST FITNESS: 26.614840989399294       	BEST SCORE: 28   	BEST RATIO: 0.05204460966542751      TOO_OLD: 202     	WON: 0    	
GEN: 106   AVG FITNESS: 1.637279267873162        	AVG SCORE: 1.728     	AVG RATIO: 0.032357732711645416     	BEST FITNESS: 27.37330754352031        	BEST SCORE: 29   	BEST RATIO: 0.05942622950819672      TOO_OLD: 203     	WON: 0    	
GEN: 107   AVG FITNESS: 1.697816035810644        	AVG SCORE: 1.788     	AVG RATIO: 0.03220345088433414      	BEST FITNESS: 25.533199195171026       	BEST SCORE: 27   	BEST RATIO: 0.0574468085106383       TOO_OLD: 208     	WON: 0    	
GEN: 108   AVG FITNESS: 1.8024786782381088       	AVG SCORE: 1.9       	AVG RATIO: 0.03167881021058072      	BEST FITNESS: 24.88632619439868        	BEST SCORE: 26   	BEST RATIO: 0.04475043029259897      TOO_OLD: 242     	WON: 0    	
GEN: 109   AVG FITNESS: 1.8949739768874734       	AVG SCORE: 1.995     	AVG RATIO: 0.0318629016801891       	BEST FITNESS: 29.439935064935064       	BEST SCORE: 31   	BEST RATIO: 0.05299145299145299      TOO_OLD: 253     	WON: 0    	
