GEN: 188   BEST FITNESS: 2.361183241434826e+21    	BEST SCORE: 71   	BEST RATIO: 0.038692098092643054     WON: 0    	
GEN: 189   BEST FITNESS: 2.9514790517935604e+20   	BEST SCORE: 68   	BEST RATIO: 0.0482611781405252       WON: 0    	
GEN: 190   BEST FITNESS: 1.5111572745182865e+23   	BEST SCORE: 77   	BEST RATIO: 0.04450867052023121      WON: 0    	
GEN: 191   BEST FITNESS: 7.555786372591432e+22    	BEST SCORE: 76   	BEST RATIO: 0.04518430439952437      WON: 0    	
GEN: 192   BEST FITNESS: 1.475739525896795e+20    	BEST SCORE: 67   	BEST RATIO: 0.0458590006844627       WON: 0    	
GEN: 193   BEST FITNESS: 2.361183241434826e+21    	BEST SCORE: 71   	BEST RATIO: 0.03669250645994832      WON: 0    	
GEN: 194   BEST FITNESS: 2.951479051793559e+20    	BEST SCORE: 68   	BEST RATIO: 0.03648068669527897      WON: 0    	
GEN: 195   BEST FITNESS: 1.4757395258967946e+20   	BEST SCORE: 67   	BEST RATIO: 0.04448871181938911      WON: 0    	
GEN: 196   BEST FITNESS: 1.4757395258967953e+20   	BEST SCORE: 67   	BEST RATIO: 0.05026256564141035      WON: 0    	
GEN: 197   BEST FITNESS: 2.9514790517935604e+20   	BEST SCORE: 68   	BEST RATIO: 0.04843304843304843      WON: 0    	
GEN: 198   BEST FITNESS: 3.022314549036573e+23    	BEST SCORE: 78   	BEST RATIO: 0.045060658578856154     WON: 0    	
GEN: 199   BEST FITNESS: 1.5111572745182865e+23   	BEST SCORE: 77   	BEST RATIO: 0.043016759776536316     WON: 0    	
GEN: 200   BEST FITNESS: 1.1805916207174147e+21   	BEST SCORE: 70   	BEST RATIO: 0.04884856943475227      WON: 0    	
GEN: 201   BEST FITNESS: 3.777893186295717e+22    	BEST SCORE: 75   	BEST RATIO: 0.04667081518357187      WON: 0    	
GEN: 202   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.043272080616478956     WON: 0    	
GEN: 203   BEST FITNESS: 7.378697629484114e+19    	BEST SCORE: 66   	BEST RATIO: 0.04084158415841584      WON: 0    	
GEN: 204   BEST FITNESS: 1.8446744073712312e+19   	BEST SCORE: 64   	BEST RATIO: 0.04105195638229634      WON: 0    	
GEN: 205   BEST FITNESS: 1.4757395258967943e+20   	BEST SCORE: 67   	BEST RATIO: 0.03978622327790974      WON: 0    	
GEN: 206   BEST FITNESS: 9.223372036857457e+18    	BEST SCORE: 63   	BEST RATIO: 0.04169424222369292      WON: 0    	
GEN: 207   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.0391943385955362       WON: 0    	
GEN: 208   BEST FITNESS: 1.475739525896794e+20    	BEST SCORE: 67   	BEST RATIO: 0.03728436282693378      WON: 0    	
GEN: 209   BEST FITNESS: 3.6893488147421995e+19   	BEST SCORE: 65   	BEST RATIO: 0.04523312456506611      WON: 0    	
GEN: 210   BEST FITNESS: 9.223372036857526e+18    	BEST SCORE: 63   	BEST RATIO: 0.050079491255961846     WON: 0    	
GEN: 211   BEST FITNESS: 1.8446744073712312e+19   	BEST SCORE: 64   	BEST RATIO: 0.041025641025641026     WON: 0    	
GEN: 212   BEST FITNESS: 9.223372036857477e+18    	BEST SCORE: 63   	BEST RATIO: 0.04378040305767894      WON: 0    	
GEN: 213   BEST FITNESS: 7.37869762948412e+19     	BEST SCORE: 66   	BEST RATIO: 0.04612159329140461      WON: 0    	
GEN: 214   BEST FITNESS: 9.22337203685744e+18     	BEST SCORE: 63   	BEST RATIO: 0.040127388535031845     WON: 0    	
GEN: 215   BEST FITNESS: 1.4757395258967946e+20   	BEST SCORE: 67   	BEST RATIO: 0.041953663118346904     WON: 0    	
GEN: 216   BEST FITNESS: 1.4757395258967953e+20   	BEST SCORE: 67   	BEST RATIO: 0.04962962962962963      WON: 0    	
