GEN: 127   BEST FITNESS: 8796094291589.021        	BEST SCORE: 43   	BEST RATIO: 0.059722222222222225     WON: 0    	
GEN: 128   BEST FITNESS: 140737489857438.12       	BEST SCORE: 47   	BEST RATIO: 0.050213675213675216     WON: 0    	
GEN: 129   BEST FITNESS: 2199024404765.4736       	BEST SCORE: 41   	BEST RATIO: 0.059248554913294796     WON: 0    	
GEN: 130   BEST FITNESS: 1099512716825.1519       	BEST SCORE: 40   	BEST RATIO: 0.05738880918220947      WON: 0    	
GEN: 131   BEST FITNESS: 4398047720436.615        	BEST SCORE: 42   	BEST RATIO: 0.06                     WON: 0    	
GEN: 132   BEST FITNESS: 1125899908574895.8       	BEST SCORE: 50   	BEST RATIO: 0.05841121495327103      WON: 0    	
GEN: 133   BEST FITNESS: 8796094268207.229        	BEST SCORE: 43   	BEST RATIO: 0.048752834467120185     WON: 0    	
GEN: 134   BEST FITNESS: 140737489887633.75       	BEST SCORE: 47   	BEST RATIO: 0.06258322237017311      WON: 0    	
GEN: 135   BEST FITNESS: 140737489853718.1        	BEST SCORE: 47   	BEST RATIO: 0.049060542797494784     WON: 0    	
GEN: 136   BEST FITNESS: 8796094280365.594        	BEST SCORE: 43   	BEST RATIO: 0.05381727158948686      WON: 0    	
GEN: 137   BEST FITNESS: 4398047707242.047        	BEST SCORE: 42   	BEST RATIO: 0.052763819095477386     WON: 0    	
GEN: 138   BEST FITNESS: 140737489868438.7        	BEST SCORE: 47   	BEST RATIO: 0.054022988505747126     WON: 0    	
GEN: 139   BEST FITNESS: 140737489860964.56       	BEST SCORE: 47   	BEST RATIO: 0.05136612021857923      WON: 0    	
GEN: 140   BEST FITNESS: 70368745618538.81        	BEST SCORE: 46   	BEST RATIO: 0.051627384960718295     WON: 0    	
GEN: 141   BEST FITNESS: 140737489868273.84       	BEST SCORE: 47   	BEST RATIO: 0.0539609644087256       WON: 0    	
GEN: 142   BEST FITNESS: 70368745622084.11        	BEST SCORE: 46   	BEST RATIO: 0.05293440736478711      WON: 0    	
GEN: 143   BEST FITNESS: 140737489841538.1        	BEST SCORE: 47   	BEST RATIO: 0.0456754130223518       WON: 0    	
GEN: 144   BEST FITNESS: 35184373462468.27        	BEST SCORE: 45   	BEST RATIO: 0.05044843049327354      WON: 0    	
GEN: 145   BEST FITNESS: 281474978249036.3        	BEST SCORE: 48   	BEST RATIO: 0.04259094942324756      WON: 0    	
GEN: 146   BEST FITNESS: 8796094259652.873        	BEST SCORE: 43   	BEST RATIO: 0.04579339723109691      WON: 0    	
GEN: 147   BEST FITNESS: 2251799815461541.0       	BEST SCORE: 51   	BEST RATIO: 0.049707602339181284     WON: 0    	
GEN: 148   BEST FITNESS: 17592187358290.9         	BEST SCORE: 44   	BEST RATIO: 0.05146198830409357      WON: 0    	
GEN: 149   BEST FITNESS: 8796094272054.727        	BEST SCORE: 43   	BEST RATIO: 0.05023364485981308      WON: 0    	
GEN: 150   BEST FITNESS: 4398047681358.405        	BEST SCORE: 42   	BEST RATIO: 0.043076923076923075     WON: 0    	
GEN: 151   BEST FITNESS: 562949955060812.0        	BEST SCORE: 49   	BEST RATIO: 0.05088265835929388      WON: 0    	
