GEN: 79    AVG FITNESS: 12013.715796204848       	AVG SCORE: 1.851     	AVG RATIO: 0.034323542501112594     	BEST SCORE: 21   	BEST RATIO: 0.065625                 TOO_OLD: 193     	WON: 0    	
GEN: 80    AVG FITNESS: 28669.918778261574       	AVG SCORE: 1.978     	AVG RATIO: 0.03910868576625739      	BEST SCORE: 23   	BEST RATIO: 0.05215419501133787      TOO_OLD: 144     	WON: 0    	
GEN: 81    AVG FITNESS: 234759.8675760922        	AVG SCORE: 2.297     	AVG RATIO: 0.03319220265017413      	BEST SCORE: 27   	BEST RATIO: 0.05018587360594796      TOO_OLD: 289     	WON: 0    	
GEN: 82    AVG FITNESS: 2670124.2967811823       	AVG SCORE: 2.979     	AVG RATIO: 0.034711379366595976     	BEST SCORE: 31   	BEST RATIO: 0.047400611620795105     TOO_OLD: 293     	WON: 0    	
GEN: 83    AVG FITNESS: 1306680.2331043794       	AVG SCORE: 3.699     	AVG RATIO: 0.038167860164682085     	BEST SCORE: 28   	BEST RATIO: 0.05533596837944664      TOO_OLD: 285     	WON: 0    	
GEN: 84    AVG FITNESS: 5292449.34525677         	AVG SCORE: 3.473     	AVG RATIO: 0.03651638137696093      	BEST SCORE: 32   	BEST RATIO: 0.04610951008645533      TOO_OLD: 284     	WON: 0    	
GEN: 85    AVG FITNESS: 4166695.538314802        	AVG SCORE: 3.291     	AVG RATIO: 0.04013267807275343      	BEST SCORE: 30   	BEST RATIO: 0.05067567567567568      TOO_OLD: 184     	WON: 0    	
GEN: 86    AVG FITNESS: 17198360.34671791        	AVG SCORE: 3.59      	AVG RATIO: 0.03887300762300762      	BEST SCORE: 33   	BEST RATIO: 0.05509181969949917      TOO_OLD: 243     	WON: 0    	
GEN: 87    AVG FITNESS: 15517417.699277071       	AVG SCORE: 3.529     	AVG RATIO: 0.038239405333362224     	BEST SCORE: 32   	BEST RATIO: 0.06451612903225806      TOO_OLD: 281     	WON: 0    	
GEN: 88    AVG FITNESS: 8688473.14468031         	AVG SCORE: 3.551     	AVG RATIO: 0.03705481524767559      	BEST SCORE: 31   	BEST RATIO: 0.049679487179487176     TOO_OLD: 295     	WON: 0    	
GEN: 89    AVG FITNESS: 12029336.0186851         	AVG SCORE: 3.91      	AVG RATIO: 0.04128609893880999      	BEST SCORE: 32   	BEST RATIO: 0.06517311608961303      TOO_OLD: 228     	WON: 0    	
GEN: 90    AVG FITNESS: 60964742.16511314        	AVG SCORE: 3.791     	AVG RATIO: 0.037783802100982714     	BEST SCORE: 35   	BEST RATIO: 0.05057803468208093      TOO_OLD: 311     	WON: 0    	
GEN: 91    AVG FITNESS: 26977654.07363682        	AVG SCORE: 4.642     	AVG RATIO: 0.039883836821665464     	BEST SCORE: 34   	BEST RATIO: 0.06170598911070781      TOO_OLD: 319     	WON: 0    	
GEN: 92    AVG FITNESS: 32258315.410850484       	AVG SCORE: 4.28      	AVG RATIO: 0.037158583806497544     	BEST SCORE: 34   	BEST RATIO: 0.04822695035460993      TOO_OLD: 366     	WON: 0    	
GEN: 93    AVG FITNESS: 51330056.00175988        	AVG SCORE: 3.545     	AVG RATIO: 0.039603186129389026     	BEST SCORE: 35   	BEST RATIO: 0.051319648093841645     TOO_OLD: 226     	WON: 0    	
GEN: 94    AVG FITNESS: 41084522.72300633        	AVG SCORE: 4.758     	AVG RATIO: 0.04130638608188353      	BEST SCORE: 34   	BEST RATIO: 0.061930783242258654     TOO_OLD: 285     	WON: 0    	
GEN: 95    AVG FITNESS: 34699534.7306442         	AVG SCORE: 5.081     	AVG RATIO: 0.040921025079329286     	BEST SCORE: 34   	BEST RATIO: 0.050073637702503684     TOO_OLD: 313     	WON: 0    	
GEN: 96    AVG FITNESS: 11997027.943321843       	AVG SCORE: 3.749     	AVG RATIO: 0.03916018175171045      	BEST SCORE: 32   	BEST RATIO: 0.05871559633027523      TOO_OLD: 231     	WON: 0    	
GEN: 97    AVG FITNESS: 162166675.5272583        	AVG SCORE: 4.597     	AVG RATIO: 0.038872634409511414     	BEST SCORE: 37   	BEST RATIO: 0.061258278145695365     TOO_OLD: 307     	WON: 0    	
GEN: 98    AVG FITNESS: 22637359.91604819        	AVG SCORE: 4.774     	AVG RATIO: 0.03819841733411213      	BEST SCORE: 33   	BEST RATIO: 0.04721030042918455      TOO_OLD: 360     	WON: 0    	
GEN: 99    AVG FITNESS: 45193258.56708076        	AVG SCORE: 4.977     	AVG RATIO: 0.041560198406733806     	BEST SCORE: 33   	BEST RATIO: 0.05365853658536585      TOO_OLD: 279     	WON: 0    	
GEN: 100   AVG FITNESS: 54135902.90392684        	AVG SCORE: 5.198     	AVG RATIO: 0.04044601103355977      	BEST SCORE: 34   	BEST RATIO: 0.05422647527910686      TOO_OLD: 304     	WON: 0    	
GEN: 101   AVG FITNESS: 82550129.62374902        	AVG SCORE: 5.618     	AVG RATIO: 0.04048542150094404      	BEST SCORE: 35   	BEST RATIO: 0.059625212947189095     TOO_OLD: 341     	WON: 0    	
GEN: 102   AVG FITNESS: 93294827.07242064        	AVG SCORE: 5.412     	AVG RATIO: 0.04106720087415772      	BEST SCORE: 34   	BEST RATIO: 0.06093189964157706      TOO_OLD: 299     	WON: 0    	
GEN: 103   AVG FITNESS: 128026082.96406154       	AVG SCORE: 5.715     	AVG RATIO: 0.041519248512499364     	BEST SCORE: 35   	BEST RATIO: 0.05982905982905983      TOO_OLD: 327     	WON: 0    	
GEN: 104   AVG FITNESS: 164131238.8471149        	AVG SCORE: 5.423     	AVG RATIO: 0.04214854193869304      	BEST SCORE: 35   	BEST RATIO: 0.05319148936170213      TOO_OLD: 280     	WON: 0    	
GEN: 105   AVG FITNESS: 299186487.2676503        	AVG SCORE: 5.898     	AVG RATIO: 0.04390287475249735      	BEST SCORE: 37   	BEST RATIO: 0.04138702460850112      TOO_OLD: 266     	WON: 0    	
GEN: 106   AVG FITNESS: 226602380.73985302       	AVG SCORE: 5.566     	AVG RATIO: 0.04131562734283954      	BEST SCORE: 36   	BEST RATIO: 0.05357142857142857      TOO_OLD: 299     	WON: 0    	
GEN: 107   AVG FITNESS: 255821052.51962888       	AVG SCORE: 6.003     	AVG RATIO: 0.042786275320380325     	BEST SCORE: 37   	BEST RATIO: 0.07628865979381444      TOO_OLD: 315     	WON: 0    	
GEN: 108   AVG FITNESS: 646269504.9789797        	AVG SCORE: 6.035     	AVG RATIO: 0.03965463995426739      	BEST SCORE: 37   	BEST RATIO: 0.06292517006802721      TOO_OLD: 441     	WON: 0    	
GEN: 109   AVG FITNESS: 379318216.2778891        	AVG SCORE: 6.523     	AVG RATIO: 0.040729039186792874     	BEST SCORE: 37   	BEST RATIO: 0.04973118279569892      TOO_OLD: 427     	WON: 0    	
GEN: 110   AVG FITNESS: 767040701.9383521        	AVG SCORE: 6.454     	AVG RATIO: 0.04148028176255848      	BEST SCORE: 38   	BEST RATIO: 0.04853128991060025      TOO_OLD: 355     	WON: 0    	
GEN: 111   AVG FITNESS: 488376833.20143473       	AVG SCORE: 6.818     	AVG RATIO: 0.0420583808325314       	BEST SCORE: 36   	BEST RATIO: 0.06206896551724138      TOO_OLD: 333     	WON: 0    	
GEN: 112   AVG FITNESS: 72032546263.92531        	AVG SCORE: 6.657     	AVG RATIO: 0.04246104388980667      	BEST SCORE: 45   	BEST RATIO: 0.03829787234042553      TOO_OLD: 289     	WON: 0    	
GEN: 113   AVG FITNESS: 44420537573.07289        	AVG SCORE: 5.207     	AVG RATIO: 0.03755336948996076      	BEST SCORE: 45   	BEST RATIO: 0.042735042735042736     TOO_OLD: 279     	WON: 0    	
GEN: 114   AVG FITNESS: 2256944635821.04         	AVG SCORE: 5.535     	AVG RATIO: 0.03865898376113148      	BEST SCORE: 51   	BEST RATIO: 0.04722222222222222      TOO_OLD: 297     	WON: 0    	
GEN: 115   AVG FITNESS: 1199761821503.999        	AVG SCORE: 5.36      	AVG RATIO: 0.036817485558066534     	BEST SCORE: 50   	BEST RATIO: 0.04440497335701599      TOO_OLD: 278     	WON: 0    	
GEN: 116   AVG FITNESS: 172586986938.33054       	AVG SCORE: 4.824     	AVG RATIO: 0.03426063365127163      	BEST SCORE: 47   	BEST RATIO: 0.053714285714285714     TOO_OLD: 362     	WON: 0    	
GEN: 117   AVG FITNESS: 71414260486.05208        	AVG SCORE: 4.621     	AVG RATIO: 0.03602529020589222      	BEST SCORE: 45   	BEST RATIO: 0.04136029411764706      TOO_OLD: 276     	WON: 0    	
GEN: 118   AVG FITNESS: 2366923569411.09         	AVG SCORE: 4.006     	AVG RATIO: 0.033735589109619615     	BEST SCORE: 50   	BEST RATIO: 0.053022269353128315     TOO_OLD: 296     	WON: 0    	
GEN: 119   AVG FITNESS: 1514671474351.478        	AVG SCORE: 5.296     	AVG RATIO: 0.038247932690571626     	BEST SCORE: 50   	BEST RATIO: 0.0471253534401508       TOO_OLD: 264     	WON: 0    	
GEN: 120   AVG FITNESS: 562826680568.652         	AVG SCORE: 5.739     	AVG RATIO: 0.038821094215054926     	BEST SCORE: 48   	BEST RATIO: 0.05144694533762058      TOO_OLD: 294     	WON: 0    	
GEN: 121   AVG FITNESS: 324429822037.1645        	AVG SCORE: 6.718     	AVG RATIO: 0.04058601419725117      	BEST SCORE: 47   	BEST RATIO: 0.055819477434679333     TOO_OLD: 275     	WON: 0    	
GEN: 122   AVG FITNESS: 7520341858162.967        	AVG SCORE: 5.874     	AVG RATIO: 0.04133243266064341      	BEST SCORE: 52   	BEST RATIO: 0.04569420035149385      TOO_OLD: 233     	WON: 0    	
GEN: 123   AVG FITNESS: 292290989668633.25       	AVG SCORE: 6.642     	AVG RATIO: 0.04107886127071106      	BEST SCORE: 58   	BEST RATIO: 0.04700162074554295      TOO_OLD: 277     	WON: 0    	
GEN: 124   AVG FITNESS: 2883941928408.795        	AVG SCORE: 6.309     	AVG RATIO: 0.039892759359844196     	BEST SCORE: 51   	BEST RATIO: 0.05                     TOO_OLD: 258     	WON: 0    	
GEN: 125   AVG FITNESS: 20005520209691.6         	AVG SCORE: 6.357     	AVG RATIO: 0.03944282434696284      	BEST SCORE: 54   	BEST RATIO: 0.049225159525979945     TOO_OLD: 315     	WON: 0    	
GEN: 126   AVG FITNESS: 5797041019589.549        	AVG SCORE: 6.87      	AVG RATIO: 0.04090016074298982      	BEST SCORE: 51   	BEST RATIO: 0.04292929292929293      TOO_OLD: 325     	WON: 0    	
GEN: 127   AVG FITNESS: 1182930070171.3088       	AVG SCORE: 6.01      	AVG RATIO: 0.03943983620327594      	BEST SCORE: 49   	BEST RATIO: 0.04794520547945205      TOO_OLD: 300     	WON: 0    	
GEN: 128   AVG FITNESS: 2449598626109.667        	AVG SCORE: 5.629     	AVG RATIO: 0.038827384031729605     	BEST SCORE: 51   	BEST RATIO: 0.05616740088105727      TOO_OLD: 303     	WON: 0    	
