GEN: 83    AVG FITNESS: 3.5106889645858166       	AVG SCORE: 3.694     	AVG RATIO: 0.03929829040734476      	BEST FITNESS: 31.52638700947226        	BEST SCORE: 33   	BEST RATIO: 0.046742209631728045     TOO_OLD: 283     	WON: 0    	
GEN: 84    AVG FITNESS: 3.8203644889380683       	AVG SCORE: 4.02      	AVG RATIO: 0.0391591497983596       	BEST FITNESS: 33.106646058732615       	BEST SCORE: 35   	BEST RATIO: 0.05718954248366013      TOO_OLD: 313     	WON: 0    	
GEN: 85    AVG FITNESS: 4.0174369663350715       	AVG SCORE: 4.22      	AVG RATIO: 0.038492410974897834     	BEST FITNESS: 32.06365159128978        	BEST SCORE: 34   	BEST RATIO: 0.06039076376554174      TOO_OLD: 340     	WON: 0    	
GEN: 86    AVG FITNESS: 4.043150489846328        	AVG SCORE: 4.246     	AVG RATIO: 0.03806091898384697      	BEST FITNESS: 32.574599260172626       	BEST SCORE: 34   	BEST RATIO: 0.043758043758043756     TOO_OLD: 343     	WON: 0    	
GEN: 87    AVG FITNESS: 4.060431794668213        	AVG SCORE: 4.266     	AVG RATIO: 0.03792303384270742      	BEST FITNESS: 32.46887417218543        	BEST SCORE: 34   	BEST RATIO: 0.047156726768377254     TOO_OLD: 356     	WON: 0    	
GEN: 88    AVG FITNESS: 4.157884668968745        	AVG SCORE: 4.371     	AVG RATIO: 0.03895999714774673      	BEST FITNESS: 31.424023154848047       	BEST SCORE: 33   	BEST RATIO: 0.05015197568389058      TOO_OLD: 339     	WON: 0    	
GEN: 89    AVG FITNESS: 4.417824007405175        	AVG SCORE: 4.645     	AVG RATIO: 0.03960168125975121      	BEST FITNESS: 31.27416798732171        	BEST SCORE: 33   	BEST RATIO: 0.05518394648829431      TOO_OLD: 350     	WON: 0    	
GEN: 90    AVG FITNESS: 4.479757451286962        	AVG SCORE: 4.705     	AVG RATIO: 0.038601010763980044     	BEST FITNESS: 33.433503836317136       	BEST SCORE: 35   	BEST RATIO: 0.04685408299866131      TOO_OLD: 375     	WON: 0    	
GEN: 91    AVG FITNESS: 4.61378087077061         	AVG SCORE: 4.843     	AVG RATIO: 0.03877874575619755      	BEST FITNESS: 31.14480408858603        	BEST SCORE: 33   	BEST RATIO: 0.05956678700361011      TOO_OLD: 371     	WON: 0    	
GEN: 92    AVG FITNESS: 4.498759514252824        	AVG SCORE: 4.727     	AVG RATIO: 0.038613287153138        	BEST FITNESS: 30.197183098591548       	BEST SCORE: 32   	BEST RATIO: 0.05970149253731343      TOO_OLD: 359     	WON: 0    	
