GEN: 96    AVG FITNESS: 47833480341.85049        	AVG SCORE: 4.851     	AVG RATIO: 0.04369364906370752      	BEST FITNESS: 35184373473057.69        	BEST SCORE: 45   	BEST RATIO: 0.05461165048543689      TOO_OLD: 154     	WON: 0    	
GEN: 97    AVG FITNESS: 54329527433.670654       	AVG SCORE: 5.503     	AVG RATIO: 0.04769953539976424      	BEST FITNESS: 35184373474746.56        	BEST SCORE: 45   	BEST RATIO: 0.055350553505535055     TOO_OLD: 124     	WON: 0    	
GEN: 98    AVG FITNESS: 18063428803029.49        	AVG SCORE: 5.349     	AVG RATIO: 0.046247222486404234     	BEST FITNESS: 1.801439851149591e+16    	BEST SCORE: 54   	BEST RATIO: 0.05330700888450148      TOO_OLD: 117     	WON: 0    	
GEN: 99    AVG FITNESS: 25545221477.86042        	AVG SCORE: 5.453     	AVG RATIO: 0.04525423869473929      	BEST FITNESS: 8796094265224.16         	BEST SCORE: 43   	BEST RATIO: 0.04767184035476718      TOO_OLD: 149     	WON: 0    	
GEN: 100   AVG FITNESS: 107597775642.3412        	AVG SCORE: 5.089     	AVG RATIO: 0.046259430960821746     	BEST FITNESS: 35184373480074.13        	BEST SCORE: 45   	BEST RATIO: 0.05784061696658098      TOO_OLD: 113     	WON: 0    	
GEN: 101   AVG FITNESS: 20128748986.33909        	AVG SCORE: 5.679     	AVG RATIO: 0.04531743751795461      	BEST FITNESS: 4398047715275.181        	BEST SCORE: 42   	BEST RATIO: 0.056910569105691054     TOO_OLD: 142     	WON: 0    	
GEN: 102   AVG FITNESS: 13737039553.831337       	AVG SCORE: 5.744     	AVG RATIO: 0.04639591612548867      	BEST FITNESS: 8796094275136.703        	BEST SCORE: 43   	BEST RATIO: 0.05149700598802395      TOO_OLD: 130     	WON: 0    	
GEN: 103   AVG FITNESS: 22563122822.936756       	AVG SCORE: 5.067     	AVG RATIO: 0.04490866709799786      	BEST FITNESS: 8796094268801.408        	BEST SCORE: 43   	BEST RATIO: 0.0489749430523918       TOO_OLD: 111     	WON: 0    	
GEN: 104   AVG FITNESS: 50429067452.18114        	AVG SCORE: 4.89      	AVG RATIO: 0.04485209814262783      	BEST FITNESS: 35184373471052.945       	BEST SCORE: 45   	BEST RATIO: 0.053763440860215055     TOO_OLD: 111     	WON: 0    	
GEN: 105   AVG FITNESS: 293663400671.7142        	AVG SCORE: 5.793     	AVG RATIO: 0.04590696568666297      	BEST FITNESS: 281474978302349.8        	BEST SCORE: 48   	BEST RATIO: 0.058394160583941604     TOO_OLD: 127     	WON: 0    	
GEN: 106   AVG FITNESS: 588827600029.8546        	AVG SCORE: 5.89      	AVG RATIO: 0.04770119131498173      	BEST FITNESS: 562949955089505.2        	BEST SCORE: 49   	BEST RATIO: 0.06140350877192982      TOO_OLD: 139     	WON: 0    	
