GEN: 118   AVG FITNESS: 9894958645.123873        	AVG SCORE: 4.334     	AVG RATIO: 0.02226000133539463      	BEST SCORE: 68   	BEST RATIO: 0.0352514256091239       TOO_OLD: 313     	WON: 0    	
GEN: 119   AVG FITNESS: 8497583580.980539        	AVG SCORE: 4.092     	AVG RATIO: 0.021741556019573772     	BEST SCORE: 56   	BEST RATIO: 0.02753195673549656      TOO_OLD: 324     	WON: 0    	
GEN: 120   AVG FITNESS: 17782029408.601467       	AVG SCORE: 4.24      	AVG RATIO: 0.022500053066162894     	BEST SCORE: 70   	BEST RATIO: 0.031194295900178252     TOO_OLD: 299     	WON: 0    	
GEN: 121   AVG FITNESS: 10195282309.267076       	AVG SCORE: 4.033     	AVG RATIO: 0.02266876510595245      	BEST SCORE: 69   	BEST RATIO: 0.03824833702882483      TOO_OLD: 244     	WON: 0    	
GEN: 122   AVG FITNESS: 18019729107.427513       	AVG SCORE: 4.72      	AVG RATIO: 0.02325764742983286      	BEST SCORE: 74   	BEST RATIO: 0.029683112715603692     TOO_OLD: 295     	WON: 0    	
GEN: 123   AVG FITNESS: 31206927194.474995       	AVG SCORE: 5.352     	AVG RATIO: 0.023967327051911298     	BEST SCORE: 89   	BEST RATIO: 0.03982102908277405      TOO_OLD: 279     	WON: 0    	
GEN: 124   AVG FITNESS: 36256602011.182175       	AVG SCORE: 5.266     	AVG RATIO: 0.02432006798165604      	BEST SCORE: 89   	BEST RATIO: 0.036883547451305426     TOO_OLD: 296     	WON: 0    	
GEN: 125   AVG FITNESS: 16159640153.276487       	AVG SCORE: 4.365     	AVG RATIO: 0.023113337428250693     	BEST SCORE: 62   	BEST RATIO: 0.029439696106362774     TOO_OLD: 304     	WON: 0    	
GEN: 126   AVG FITNESS: 30487619396.378124       	AVG SCORE: 4.749     	AVG RATIO: 0.024110515413671256     	BEST SCORE: 97   	BEST RATIO: 0.04024896265560166      TOO_OLD: 286     	WON: 1    	
GEN: 127   AVG FITNESS: 14567862455.885328       	AVG SCORE: 4.881     	AVG RATIO: 0.022878436335512904     	BEST SCORE: 59   	BEST RATIO: 0.02658855340243353      TOO_OLD: 377     	WON: 0    	
GEN: 128   AVG FITNESS: 23753735001.565205       	AVG SCORE: 4.787     	AVG RATIO: 0.02310506602826473      	BEST SCORE: 68   	BEST RATIO: 0.02761982128350934      TOO_OLD: 355     	WON: 0    	
