GEN: 114   AVG FITNESS: 34925.4328285812         	AVG SCORE: 2.797     	AVG RATIO: 0.056213196133207396     	BEST SCORE: 27   	BEST RATIO: 0.08544303797468354      TOO_OLD: 89      	WON: 0    	
GEN: 115   AVG FITNESS: 33914.240760570276       	AVG SCORE: 2.706     	AVG RATIO: 0.05595533498759305      	BEST SCORE: 24   	BEST RATIO: 0.05853658536585366      TOO_OLD: 84      	WON: 0    	
GEN: 116   AVG FITNESS: 37272.18791110401        	AVG SCORE: 3.025     	AVG RATIO: 0.05962470926794654      	BEST SCORE: 21   	BEST RATIO: 0.08300395256916997      TOO_OLD: 71      	WON: 0    	
GEN: 117   AVG FITNESS: 35527.73436025348        	AVG SCORE: 2.865     	AVG RATIO: 0.056630626000672056     	BEST SCORE: 27   	BEST RATIO: 0.06192660550458716      TOO_OLD: 96      	WON: 0    	
GEN: 118   AVG FITNESS: 37913.82259155723        	AVG SCORE: 3.09      	AVG RATIO: 0.05676703470321312      	BEST SCORE: 30   	BEST RATIO: 0.06302521008403361      TOO_OLD: 101     	WON: 0    	
GEN: 119   AVG FITNESS: 37757.57067669152        	AVG SCORE: 3.08      	AVG RATIO: 0.0569452918446207       	BEST SCORE: 30   	BEST RATIO: 0.04950495049504951      TOO_OLD: 81      	WON: 0    	
GEN: 120   AVG FITNESS: 40176.72921678994        	AVG SCORE: 3.31      	AVG RATIO: 0.05659087023422807      	BEST SCORE: 26   	BEST RATIO: 0.06132075471698113      TOO_OLD: 88      	WON: 0    	
GEN: 121   AVG FITNESS: 40313.734405673924       	AVG SCORE: 3.329     	AVG RATIO: 0.05723373162554801      	BEST SCORE: 27   	BEST RATIO: 0.08490566037735849      TOO_OLD: 92      	WON: 0    	
GEN: 122   AVG FITNESS: 40294.11776875284        	AVG SCORE: 3.326     	AVG RATIO: 0.056214717912314506     	BEST SCORE: 23   	BEST RATIO: 0.05912596401028278      TOO_OLD: 100     	WON: 0    	
GEN: 123   AVG FITNESS: 39618.278187071584       	AVG SCORE: 3.266     	AVG RATIO: 0.05442879760019998      	BEST SCORE: 30   	BEST RATIO: 0.044642857142857144     TOO_OLD: 109     	WON: 0    	
GEN: 124   AVG FITNESS: 43676.93994782994        	AVG SCORE: 3.655     	AVG RATIO: 0.05611163990297521      	BEST SCORE: 30   	BEST RATIO: 0.05736137667304015      TOO_OLD: 96      	WON: 0    	
GEN: 125   AVG FITNESS: 43585.50005224911        	AVG SCORE: 3.652     	AVG RATIO: 0.05537696366834476      	BEST SCORE: 27   	BEST RATIO: 0.06398104265402843      TOO_OLD: 115     	WON: 0    	
GEN: 126   AVG FITNESS: 47373.1879873428         	AVG SCORE: 4.017     	AVG RATIO: 0.055797091383884556     	BEST SCORE: 26   	BEST RATIO: 0.06205250596658711      TOO_OLD: 117     	WON: 0    	
