GEN: 76    AVG FITNESS: 719.2896800000002        	AVG SCORE: 4.209     	AVG RATIO: 0.04381910175526266      	BEST SCORE: 32   	BEST RATIO: 0.047058823529411764     TOO_OLD: 174     	WON: 0    	
GEN: 77    AVG FITNESS: 768.9876100000006        	AVG SCORE: 4.488     	AVG RATIO: 0.04323907702683174      	BEST SCORE: 30   	BEST RATIO: 0.050761421319796954     TOO_OLD: 216     	WON: 0    	
GEN: 78    AVG FITNESS: 805.52994                	AVG SCORE: 4.593     	AVG RATIO: 0.04220964214163619      	BEST SCORE: 26   	BEST RATIO: 0.04227642276422764      TOO_OLD: 221     	WON: 0    	
GEN: 79    AVG FITNESS: 937.69608                	AVG SCORE: 5.244     	AVG RATIO: 0.042507660133262        	BEST SCORE: 27   	BEST RATIO: 0.04160246533127889      TOO_OLD: 240     	WON: 0    	
GEN: 80    AVG FITNESS: 1001.7894600000002       	AVG SCORE: 5.483     	AVG RATIO: 0.042258840213336625     	BEST SCORE: 28   	BEST RATIO: 0.038408779149519894     TOO_OLD: 226     	WON: 0    	
GEN: 81    AVG FITNESS: 1007.5688800000004       	AVG SCORE: 5.415     	AVG RATIO: 0.04137377750611247      	BEST SCORE: 28   	BEST RATIO: 0.039942938659058486     TOO_OLD: 226     	WON: 0    	
GEN: 82    AVG FITNESS: 971.8489000000002        	AVG SCORE: 5.232     	AVG RATIO: 0.04105139270302079      	BEST SCORE: 29   	BEST RATIO: 0.03945578231292517      TOO_OLD: 218     	WON: 0    	
GEN: 83    AVG FITNESS: 1005.8718700000015       	AVG SCORE: 5.381     	AVG RATIO: 0.04143661299389348      	BEST SCORE: 29   	BEST RATIO: 0.04101838755304102      TOO_OLD: 209     	WON: 0    	
GEN: 84    AVG FITNESS: 1096.8393                	AVG SCORE: 5.783     	AVG RATIO: 0.04236567962374178      	BEST SCORE: 31   	BEST RATIO: 0.03969270166453265      TOO_OLD: 190     	WON: 0    	
GEN: 85    AVG FITNESS: 1189.2264700000005       	AVG SCORE: 6.294     	AVG RATIO: 0.04269521154276643      	BEST SCORE: 31   	BEST RATIO: 0.04041720990873533      TOO_OLD: 205     	WON: 0    	
GEN: 86    AVG FITNESS: 1161.4540400000003       	AVG SCORE: 6.022     	AVG RATIO: 0.04173770809941642      	BEST SCORE: 28   	BEST RATIO: 0.038834951456310676     TOO_OLD: 203     	WON: 0    	
GEN: 87    AVG FITNESS: 1214.8661999999997       	AVG SCORE: 6.225     	AVG RATIO: 0.04123445014109137      	BEST SCORE: 31   	BEST RATIO: 0.0446685878962536       TOO_OLD: 220     	WON: 0    	
GEN: 88    AVG FITNESS: 1365.2990200000006       	AVG SCORE: 6.892     	AVG RATIO: 0.04209420502296492      	BEST SCORE: 30   	BEST RATIO: 0.039525691699604744     TOO_OLD: 226     	WON: 0    	
GEN: 89    AVG FITNESS: 1283.4444600000004       	AVG SCORE: 6.539     	AVG RATIO: 0.042192540973028776     	BEST SCORE: 31   	BEST RATIO: 0.03276955602536998      TOO_OLD: 201     	WON: 0    	
GEN: 90    AVG FITNESS: 1327.4343299999994       	AVG SCORE: 6.634     	AVG RATIO: 0.04027954025221768      	BEST SCORE: 32   	BEST RATIO: 0.04050632911392405      TOO_OLD: 245     	WON: 0    	
GEN: 91    AVG FITNESS: 1448.2405300000014       	AVG SCORE: 7.17      	AVG RATIO: 0.041252653805658006     	BEST SCORE: 31   	BEST RATIO: 0.03827160493827161      TOO_OLD: 246     	WON: 0    	
GEN: 92    AVG FITNESS: 1352.6698600000004       	AVG SCORE: 6.722     	AVG RATIO: 0.04128992628992629      	BEST SCORE: 29   	BEST RATIO: 0.037467700258397935     TOO_OLD: 219     	WON: 0    	
GEN: 93    AVG FITNESS: 1285.9051800000018       	AVG SCORE: 6.497     	AVG RATIO: 0.04128382070735954      	BEST SCORE: 31   	BEST RATIO: 0.037758830694275276     TOO_OLD: 239     	WON: 0    	
GEN: 94    AVG FITNESS: 1335.6722299999994       	AVG SCORE: 6.576     	AVG RATIO: 0.04095894762411944      	BEST SCORE: 30   	BEST RATIO: 0.03773584905660377      TOO_OLD: 226     	WON: 0    	
GEN: 95    AVG FITNESS: 1392.8792800000003       	AVG SCORE: 6.834     	AVG RATIO: 0.04074162394181471      	BEST SCORE: 31   	BEST RATIO: 0.04217687074829932      TOO_OLD: 235     	WON: 0    	
GEN: 96    AVG FITNESS: 1517.5196300000007       	AVG SCORE: 7.383     	AVG RATIO: 0.041510876715563624     	BEST SCORE: 34   	BEST RATIO: 0.04358974358974359      TOO_OLD: 232     	WON: 0    	
GEN: 97    AVG FITNESS: 1372.7151100000012       	AVG SCORE: 6.663     	AVG RATIO: 0.03982642064303262      	BEST SCORE: 28   	BEST RATIO: 0.035                    TOO_OLD: 252     	WON: 0    	
GEN: 98    AVG FITNESS: 1479.472759999999        	AVG SCORE: 7.153     	AVG RATIO: 0.04163465344229471      	BEST SCORE: 30   	BEST RATIO: 0.03731343283582089      TOO_OLD: 219     	WON: 0    	
GEN: 99    AVG FITNESS: 1395.5268000000003       	AVG SCORE: 6.789     	AVG RATIO: 0.04109066698946859      	BEST SCORE: 34   	BEST RATIO: 0.041820418204182044     TOO_OLD: 215     	WON: 0    	
GEN: 100   AVG FITNESS: 1366.1870499999995       	AVG SCORE: 6.702     	AVG RATIO: 0.041515160900672095     	BEST SCORE: 31   	BEST RATIO: 0.039190897597977246     TOO_OLD: 213     	WON: 0    	
GEN: 101   AVG FITNESS: 1392.0908100000008       	AVG SCORE: 6.78      	AVG RATIO: 0.04052866596130051      	BEST SCORE: 26   	BEST RATIO: 0.0322180916976456       TOO_OLD: 245     	WON: 0    	
GEN: 102   AVG FITNESS: 1346.753110000001        	AVG SCORE: 6.642     	AVG RATIO: 0.0408298755186722       	BEST SCORE: 29   	BEST RATIO: 0.03456495828367104      TOO_OLD: 229     	WON: 0    	
GEN: 103   AVG FITNESS: 1368.5019800000005       	AVG SCORE: 6.771     	AVG RATIO: 0.04126243174726989      	BEST SCORE: 30   	BEST RATIO: 0.038461538461538464     TOO_OLD: 238     	WON: 0    	
GEN: 104   AVG FITNESS: 1397.6435400000003       	AVG SCORE: 6.849     	AVG RATIO: 0.04081498873699391      	BEST SCORE: 32   	BEST RATIO: 0.041025641025641026     TOO_OLD: 240     	WON: 0    	
GEN: 105   AVG FITNESS: 1425.99034               	AVG SCORE: 6.967     	AVG RATIO: 0.04074888579550107      	BEST SCORE: 31   	BEST RATIO: 0.040207522697795074     TOO_OLD: 247     	WON: 0    	
GEN: 106   AVG FITNESS: 1426.4999500000013       	AVG SCORE: 7.081     	AVG RATIO: 0.041412989443518435     	BEST SCORE: 31   	BEST RATIO: 0.03879849812265332      TOO_OLD: 229     	WON: 0    	
GEN: 107   AVG FITNESS: 1426.5466299999996       	AVG SCORE: 7.054     	AVG RATIO: 0.04146119258236107      	BEST SCORE: 32   	BEST RATIO: 0.03836930455635491      TOO_OLD: 220     	WON: 0    	
GEN: 108   AVG FITNESS: 1441.9930100000024       	AVG SCORE: 7.13      	AVG RATIO: 0.04143638381830756      	BEST SCORE: 30   	BEST RATIO: 0.03880983182406209      TOO_OLD: 246     	WON: 0    	
GEN: 109   AVG FITNESS: 1487.6450600000014       	AVG SCORE: 7.379     	AVG RATIO: 0.04166996080911668      	BEST SCORE: 30   	BEST RATIO: 0.03694581280788178      TOO_OLD: 249     	WON: 0    	
GEN: 110   AVG FITNESS: 1656.7953900000014       	AVG SCORE: 8.089     	AVG RATIO: 0.04225455115313292      	BEST SCORE: 32   	BEST RATIO: 0.04040404040404041      TOO_OLD: 238     	WON: 0    	
GEN: 111   AVG FITNESS: 1564.2384700000005       	AVG SCORE: 7.699     	AVG RATIO: 0.0423606182152309       	BEST SCORE: 28   	BEST RATIO: 0.03414634146341464      TOO_OLD: 232     	WON: 0    	
GEN: 112   AVG FITNESS: 1433.3563800000009       	AVG SCORE: 7.11      	AVG RATIO: 0.041809265074268784     	BEST SCORE: 31   	BEST RATIO: 0.03879849812265332      TOO_OLD: 247     	WON: 0    	
GEN: 113   AVG FITNESS: 1422.3313299999998       	AVG SCORE: 7.104     	AVG RATIO: 0.042004434589800445     	BEST SCORE: 31   	BEST RATIO: 0.038605230386052306     TOO_OLD: 250     	WON: 0    	
GEN: 114   AVG FITNESS: 1515.7108199999993       	AVG SCORE: 7.551     	AVG RATIO: 0.042306787239049314     	BEST SCORE: 30   	BEST RATIO: 0.0353356890459364       TOO_OLD: 248     	WON: 0    	
GEN: 115   AVG FITNESS: 1445.892759999999        	AVG SCORE: 7.279     	AVG RATIO: 0.042457507495246204     	BEST SCORE: 32   	BEST RATIO: 0.04129032258064516      TOO_OLD: 231     	WON: 0    	
GEN: 116   AVG FITNESS: 1545.5423100000012       	AVG SCORE: 7.597     	AVG RATIO: 0.04144503908828552      	BEST SCORE: 31   	BEST RATIO: 0.03753026634382567      TOO_OLD: 263     	WON: 0    	
GEN: 117   AVG FITNESS: 1580.7942600000006       	AVG SCORE: 7.757     	AVG RATIO: 0.042265109081794996     	BEST SCORE: 28   	BEST RATIO: 0.034912718204488775     TOO_OLD: 234     	WON: 0    	
GEN: 118   AVG FITNESS: 1602.48669               	AVG SCORE: 7.963     	AVG RATIO: 0.043047198931793734     	BEST SCORE: 29   	BEST RATIO: 0.0377113133940182       TOO_OLD: 233     	WON: 0    	
GEN: 119   AVG FITNESS: 1508.303940000001        	AVG SCORE: 7.389     	AVG RATIO: 0.042573664135332284     	BEST SCORE: 30   	BEST RATIO: 0.03802281368821293      TOO_OLD: 205     	WON: 0    	
GEN: 120   AVG FITNESS: 1521.0009600000014       	AVG SCORE: 7.419     	AVG RATIO: 0.04162552179182189      	BEST SCORE: 31   	BEST RATIO: 0.03559127439724455      TOO_OLD: 253     	WON: 0    	
GEN: 121   AVG FITNESS: 1479.8238299999996       	AVG SCORE: 7.3       	AVG RATIO: 0.04202624049372197      	BEST SCORE: 31   	BEST RATIO: 0.03884711779448621      TOO_OLD: 236     	WON: 0    	
GEN: 122   AVG FITNESS: 1494.1010700000027       	AVG SCORE: 7.278     	AVG RATIO: 0.04219301652820694      	BEST SCORE: 28   	BEST RATIO: 0.03333333333333333      TOO_OLD: 204     	WON: 0    	
GEN: 123   AVG FITNESS: 1470.4431100000008       	AVG SCORE: 7.17      	AVG RATIO: 0.041406552283712844     	BEST SCORE: 29   	BEST RATIO: 0.03506650544135429      TOO_OLD: 241     	WON: 0    	
GEN: 124   AVG FITNESS: 1478.8508099999995       	AVG SCORE: 7.177     	AVG RATIO: 0.041492024766871125     	BEST SCORE: 29   	BEST RATIO: 0.03523693803159174      TOO_OLD: 207     	WON: 0    	
GEN: 125   AVG FITNESS: 1512.4075399999995       	AVG SCORE: 7.501     	AVG RATIO: 0.041826049136267834     	BEST SCORE: 30   	BEST RATIO: 0.03896103896103896      TOO_OLD: 221     	WON: 0    	
GEN: 126   AVG FITNESS: 1385.4077700000016       	AVG SCORE: 6.729     	AVG RATIO: 0.04046374859438234      	BEST SCORE: 29   	BEST RATIO: 0.036848792884371026     TOO_OLD: 226     	WON: 0    	
GEN: 127   AVG FITNESS: 1581.9393299999995       	AVG SCORE: 7.58      	AVG RATIO: 0.04099890200829714      	BEST SCORE: 30   	BEST RATIO: 0.03712871287128713      TOO_OLD: 223     	WON: 0    	
GEN: 128   AVG FITNESS: 1483.1286700000035       	AVG SCORE: 7.094     	AVG RATIO: 0.03976747184492144      	BEST SCORE: 29   	BEST RATIO: 0.03861517976031957      TOO_OLD: 251     	WON: 0    	
