GEN: 117   AVG FITNESS: 42728876013.78999        	AVG SCORE: 8.518     	AVG RATIO: 0.046330492295475194     	BEST SCORE: 45   	BEST RATIO: 0.05521472392638037      TOO_OLD: 296     	WON: 0    	
GEN: 118   AVG FITNESS: 315887238490.24          	AVG SCORE: 9.888     	AVG RATIO: 0.0448150833937636       	BEST SCORE: 48   	BEST RATIO: 0.049029622063329927     TOO_OLD: 345     	WON: 0    	
GEN: 119   AVG FITNESS: 15798439491.141539       	AVG SCORE: 6.687     	AVG RATIO: 0.03743450221684805      	BEST SCORE: 43   	BEST RATIO: 0.05308641975308642      TOO_OLD: 493     	WON: 0    	
GEN: 120   AVG FITNESS: 75492000150.51355        	AVG SCORE: 7.93      	AVG RATIO: 0.04578892058249512      	BEST SCORE: 45   	BEST RATIO: 0.04726890756302521      TOO_OLD: 192     	WON: 0    	
GEN: 121   AVG FITNESS: 2309028170646.827        	AVG SCORE: 9.762     	AVG RATIO: 0.04852732831257923      	BEST SCORE: 51   	BEST RATIO: 0.06407035175879397      TOO_OLD: 95      	WON: 0    	
GEN: 122   AVG FITNESS: 209417004613.5744        	AVG SCORE: 11.997    	AVG RATIO: 0.051710538225798804     	BEST SCORE: 46   	BEST RATIO: 0.06990881458966565      TOO_OLD: 103     	WON: 0    	
GEN: 123   AVG FITNESS: 367530361941.5908        	AVG SCORE: 10.546    	AVG RATIO: 0.05154296550443291      	BEST SCORE: 48   	BEST RATIO: 0.05155746509129968      TOO_OLD: 96      	WON: 0    	
GEN: 124   AVG FITNESS: 726742108038.3939        	AVG SCORE: 10.705    	AVG RATIO: 0.04662720450199707      	BEST SCORE: 48   	BEST RATIO: 0.04682926829268293      TOO_OLD: 208     	WON: 0    	
GEN: 125   AVG FITNESS: 385142970429.0098        	AVG SCORE: 11.941    	AVG RATIO: 0.05029928516969322      	BEST SCORE: 48   	BEST RATIO: 0.0505795574288725       TOO_OLD: 86      	WON: 0    	
GEN: 126   AVG FITNESS: 110724791414.61171       	AVG SCORE: 10.189    	AVG RATIO: 0.04796900305073255      	BEST SCORE: 45   	BEST RATIO: 0.05238649592549476      TOO_OLD: 153     	WON: 0    	
GEN: 127   AVG FITNESS: 136882228661.50145       	AVG SCORE: 11.634    	AVG RATIO: 0.04989920651940811      	BEST SCORE: 46   	BEST RATIO: 0.05418138987043581      TOO_OLD: 128     	WON: 0    	
GEN: 128   AVG FITNESS: 386791827844.8519        	AVG SCORE: 12.84     	AVG RATIO: 0.048888956578686846     	BEST SCORE: 47   	BEST RATIO: 0.05745721271393643      TOO_OLD: 183     	WON: 0    	
