GEN: 88    AVG FITNESS: 444320164.07868963       	AVG SCORE: 3.916     	AVG RATIO: 0.0369908561928512       	BEST FITNESS: 274878873353.5309        	BEST SCORE: 38   	BEST RATIO: 0.049479166666666664     TOO_OLD: 338     	WON: 0    	
GEN: 89    AVG FITNESS: 319131721.2713886        	AVG SCORE: 3.365     	AVG RATIO: 0.03600856072766185      	BEST FITNESS: 137439879749.34686       	BEST SCORE: 37   	BEST RATIO: 0.05727554179566564      TOO_OLD: 300     	WON: 0    	
GEN: 90    AVG FITNESS: 163308183.0828976        	AVG SCORE: 3.741     	AVG RATIO: 0.03498386870528826      	BEST FITNESS: 34360557672.103294       	BEST SCORE: 35   	BEST RATIO: 0.052316890881913304     TOO_OLD: 368     	WON: 0    	
GEN: 91    AVG FITNESS: 1180979659.9408088       	AVG SCORE: 3.58      	AVG RATIO: 0.03409686175532168      	BEST FITNESS: 1099512700155.2505       	BEST SCORE: 40   	BEST RATIO: 0.048484848484848485     TOO_OLD: 392     	WON: 0    	
GEN: 92    AVG FITNESS: 502833980.2102586        	AVG SCORE: 4.038     	AVG RATIO: 0.038151206515371974     	BEST FITNESS: 137439866795.73633       	BEST SCORE: 37   	BEST RATIO: 0.048812664907651716     TOO_OLD: 289     	WON: 0    	
GEN: 93    AVG FITNESS: 2771144419.6969028       	AVG SCORE: 4.488     	AVG RATIO: 0.03773077311093924      	BEST FITNESS: 549756848387.6542        	BEST SCORE: 39   	BEST RATIO: 0.058208955223880594     TOO_OLD: 340     	WON: 0    	
GEN: 94    AVG FITNESS: 534914861.12924445       	AVG SCORE: 4.004     	AVG RATIO: 0.039291111416403346     	BEST FITNESS: 274878864391.4391        	BEST SCORE: 38   	BEST RATIO: 0.04523809523809524      TOO_OLD: 280     	WON: 0    	
GEN: 95    AVG FITNESS: 2148305009.0814314       	AVG SCORE: 3.859     	AVG RATIO: 0.03616309471375959      	BEST FITNESS: 1099512710932.6155       	BEST SCORE: 40   	BEST RATIO: 0.05383580080753701      TOO_OLD: 350     	WON: 0    	
GEN: 96    AVG FITNESS: 206888685.62424546       	AVG SCORE: 3.71      	AVG RATIO: 0.03667312482701356      	BEST FITNESS: 68720346959.85208        	BEST SCORE: 36   	BEST RATIO: 0.05349182763744428      TOO_OLD: 322     	WON: 0    	
GEN: 97    AVG FITNESS: 226158989.07814753       	AVG SCORE: 4.059     	AVG RATIO: 0.038101585453999304     	BEST FITNESS: 34360568992.157265       	BEST SCORE: 35   	BEST RATIO: 0.0625                   TOO_OLD: 297     	WON: 0    	
GEN: 98    AVG FITNESS: 847804199.7189568        	AVG SCORE: 4.778     	AVG RATIO: 0.03792846142854874      	BEST FITNESS: 274878898992.43463       	BEST SCORE: 38   	BEST RATIO: 0.0692167577413479       TOO_OLD: 366     	WON: 0    	
GEN: 99    AVG FITNESS: 3142334868.5054774       	AVG SCORE: 4.706     	AVG RATIO: 0.037639568736603        	BEST FITNESS: 2199024380139.008        	BEST SCORE: 41   	BEST RATIO: 0.04691075514874142      TOO_OLD: 389     	WON: 0    	
GEN: 100   AVG FITNESS: 5670272887.147566        	AVG SCORE: 4.782     	AVG RATIO: 0.03811816471638555      	BEST FITNESS: 2199024376201.6343       	BEST SCORE: 41   	BEST RATIO: 0.045454545454545456     TOO_OLD: 342     	WON: 0    	
GEN: 101   AVG FITNESS: 10369759171.30176        	AVG SCORE: 4.877     	AVG RATIO: 0.039572869418456516     	BEST FITNESS: 8796094247691.62         	BEST SCORE: 43   	BEST RATIO: 0.04228121927236971      TOO_OLD: 332     	WON: 0    	
GEN: 102   AVG FITNESS: 42472660683.34279        	AVG SCORE: 4.989     	AVG RATIO: 0.03747605633802817      	BEST FITNESS: 35184373443186.914       	BEST SCORE: 45   	BEST RATIO: 0.044466403162055336     TOO_OLD: 426     	WON: 0    	
GEN: 103   AVG FITNESS: 9621240505.905096        	AVG SCORE: 5.326     	AVG RATIO: 0.0376550105343533       	BEST FITNESS: 4398047721243.98         	BEST SCORE: 42   	BEST RATIO: 0.06051873198847262      TOO_OLD: 447     	WON: 0    	
GEN: 104   AVG FITNESS: 3287871067.584742        	AVG SCORE: 5.211     	AVG RATIO: 0.03850217595294918      	BEST FITNESS: 549756833292.3252        	BEST SCORE: 39   	BEST RATIO: 0.0493046776232617       TOO_OLD: 374     	WON: 0    	
GEN: 105   AVG FITNESS: 14516418501.036102       	AVG SCORE: 4.957     	AVG RATIO: 0.038976560595695826     	BEST FITNESS: 8796094272054.727        	BEST SCORE: 43   	BEST RATIO: 0.05023364485981308      TOO_OLD: 343     	WON: 0    	
GEN: 106   AVG FITNESS: 867788801.7949585        	AVG SCORE: 4.558     	AVG RATIO: 0.041514108239065886     	BEST FITNESS: 549756831240.921         	BEST SCORE: 39   	BEST RATIO: 0.048327137546468404     TOO_OLD: 257     	WON: 0    	
GEN: 107   AVG FITNESS: 37070051216.638504       	AVG SCORE: 4.44      	AVG RATIO: 0.03812075005151453      	BEST FITNESS: 35184373447426.32        	BEST SCORE: 45   	BEST RATIO: 0.04563894523326572      TOO_OLD: 290     	WON: 0    	
GEN: 108   AVG FITNESS: 1149855267480.3232       	AVG SCORE: 4.41      	AVG RATIO: 0.03630585833305891      	BEST FITNESS: 1125899908523517.5       	BEST SCORE: 50   	BEST RATIO: 0.04409171075837742      TOO_OLD: 316     	WON: 0    	
GEN: 109   AVG FITNESS: 464584323461.87756       	AVG SCORE: 4.2       	AVG RATIO: 0.035890687221206266     	BEST FITNESS: 281474978235936.4        	BEST SCORE: 48   	BEST RATIO: 0.04006677796327212      TOO_OLD: 307     	WON: 0    	
