GEN: 80    AVG FITNESS: 3755682893.241536     	AVG SCORE: 6.720909090909091     	AVG RATIO: 0.041959951472786375  	BEST FITNESS: 1099512714916.2131    	BEST SCORE: 40   	BEST RATIO: 0.056179775280898875  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 81    AVG FITNESS: 2043465768.6149821    	AVG SCORE: 6.097272727272728     	AVG RATIO: 0.04628855870232952   	BEST FITNESS: 1099512713764.9832    	BEST SCORE: 40   	BEST RATIO: 0.05547850208044383   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 82    AVG FITNESS: 19733173524.377647    	AVG SCORE: 6.710909090909091     	AVG RATIO: 0.04512360975793461   	BEST FITNESS: 17592187366239.125    	BEST SCORE: 44   	BEST RATIO: 0.05486284289276808   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 83    AVG FITNESS: 26323788174.40584     	AVG SCORE: 7.467272727272727     	AVG RATIO: 0.049220358424338785  	BEST FITNESS: 8796094294511.963     	BEST SCORE: 43   	BEST RATIO: 0.06151645207439199   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 84    AVG FITNESS: 17281926255.1126      	AVG SCORE: 6.678181818181818     	AVG RATIO: 0.04420416690898192   	BEST FITNESS: 4398047719086.36      	BEST SCORE: 42   	BEST RATIO: 0.059154929577464786  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 85    AVG FITNESS: 152211052197.83896    	AVG SCORE: 6.984545454545454     	AVG RATIO: 0.045507349802193016  	BEST FITNESS: 140737489859624.0     	BEST SCORE: 47   	BEST RATIO: 0.050920910075839654  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 86    AVG FITNESS: 284018171518.10767    	AVG SCORE: 8.55090909090909      	AVG RATIO: 0.04352410143995769   	BEST FITNESS: 281474978271140.0     	BEST SCORE: 48   	BEST RATIO: 0.04780876494023904   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 87    AVG FITNESS: 1513003626028.9746    	AVG SCORE: 8.590909090909092     	AVG RATIO: 0.034137701498210354  	BEST FITNESS: 1125899908596988.5    	BEST SCORE: 50   	BEST RATIO: 0.06868131868131869   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 88    AVG FITNESS: 2161145320422.0222    	AVG SCORE: 7.954545454545454     	AVG RATIO: 0.03441032821140114   	BEST FITNESS: 2251799815434441.5    	BEST SCORE: 51   	BEST RATIO: 0.04377682403433476   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 89    AVG FITNESS: 152201856473160.97    	AVG SCORE: 10.633636363636363    	AVG RATIO: 0.03450511222462759   	BEST FITNESS: 1.4411518807801267e+17	BEST SCORE: 57   	BEST RATIO: 0.03856562922868741   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 90    AVG FITNESS: 121940959505405.4     	AVG SCORE: 10.778181818181817    	AVG RATIO: 0.03722131098048039   	BEST FITNESS: 7.205759403998618e+16 	BEST SCORE: 56   	BEST RATIO: 0.03629293583927414   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 91    AVG FITNESS: 162249010733942.06    	AVG SCORE: 8.935454545454546     	AVG RATIO: 0.034394780335467064  	BEST FITNESS: 7.205759404004054e+16 	BEST SCORE: 56   	BEST RATIO: 0.04265041888804265   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 92    AVG FITNESS: 14816958445677.328    	AVG SCORE: 9.076363636363636     	AVG RATIO: 0.033080465713947384  	BEST FITNESS: 4503599629208977.0    	BEST SCORE: 52   	BEST RATIO: 0.047315741583257506  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
