
GEN: 90    BEST FITNESS: 7.229662995186868e+32    	BEST SCORE: 97   	BEST RATIO: 0.045625587958607716     WON: 6    	WON AVG RATIO: 0.04258197692988982      	
GEN: 91    BEST FITNESS: 5.626011540178361e+32    	BEST SCORE: 97   	BEST RATIO: 0.035505124450951685     WON: 1    	WON AVG RATIO: 0.035505124450951685     	
GEN: 92    BEST FITNESS: 7.192449006910287e+32    	BEST SCORE: 97   	BEST RATIO: 0.04539073467477773      WON: 4    	WON AVG RATIO: 0.03949871878924123      	
GEN: 93    BEST FITNESS: 6.468966131215186e+32    	BEST SCORE: 97   	BEST RATIO: 0.040824915824915826     WON: 10   	WON AVG RATIO: 0.03777113339940037      	
GEN: 94    BEST FITNESS: 7.494033899447724e+32    	BEST SCORE: 97   	BEST RATIO: 0.04729400292540224      WON: 18   	WON AVG RATIO: 0.03841632109616264      	
GEN: 95    BEST FITNESS: 6.588196968610065e+32    	BEST SCORE: 97   	BEST RATIO: 0.041577368195456495     WON: 12   	WON AVG RATIO: 0.03722341975731426      	
GEN: 96    BEST FITNESS: 6.441853951285533e+32    	BEST SCORE: 97   	BEST RATIO: 0.040653813914501256     WON: 12   	WON AVG RATIO: 0.037435708039682214     	
GEN: 97    BEST FITNESS: 6.499054345778976e+32    	BEST SCORE: 97   	BEST RATIO: 0.041014799154334036     WON: 8    	WON AVG RATIO: 0.038060995152054536     	
GEN: 98    BEST FITNESS: 6.753191356664008e+32    	BEST SCORE: 97   	BEST RATIO: 0.04261862917398945      WON: 13   	WON AVG RATIO: 0.03843557209166635      	
GEN: 99    BEST FITNESS: 6.648037858030831e+32    	BEST SCORE: 97   	BEST RATIO: 0.04195501730103806      WON: 22   	WON AVG RATIO: 0.03699065005958553      	

