GEN: 75    AVG FITNESS: 25443974.62638499        	AVG SCORE: 5.278     	AVG RATIO: 0.058399167939100216     	BEST SCORE: 34   	BEST RATIO: 0.06451612903225806      TOO_OLD: 131     	WON: 0    	
GEN: 76    AVG FITNESS: 8183036.094657251        	AVG SCORE: 6.202     	AVG RATIO: 0.062061581259443825     	BEST SCORE: 31   	BEST RATIO: 0.05730129390018484      TOO_OLD: 110     	WON: 0    	
GEN: 77    AVG FITNESS: 44565264.47915861        	AVG SCORE: 6.331     	AVG RATIO: 0.06110001254620381      	BEST SCORE: 35   	BEST RATIO: 0.05952380952380952      TOO_OLD: 118     	WON: 0    	
GEN: 78    AVG FITNESS: 49494294.86124734        	AVG SCORE: 6.332     	AVG RATIO: 0.061302533618611495     	BEST SCORE: 35   	BEST RATIO: 0.06529850746268656      TOO_OLD: 116     	WON: 0    	
GEN: 79    AVG FITNESS: 595773631.5968375        	AVG SCORE: 5.86      	AVG RATIO: 0.06095467925980632      	BEST SCORE: 39   	BEST RATIO: 0.05595408895265423      TOO_OLD: 87      	WON: 0    	
GEN: 80    AVG FITNESS: 443351859.9985464        	AVG SCORE: 6.159     	AVG RATIO: 0.062338687638538844     	BEST SCORE: 38   	BEST RATIO: 0.06484641638225255      TOO_OLD: 73      	WON: 0    	
GEN: 81    AVG FITNESS: 8846788721.44165         	AVG SCORE: 7.147     	AVG RATIO: 0.06248415383673862      	BEST SCORE: 43   	BEST RATIO: 0.051932367149758456     TOO_OLD: 128     	WON: 0    	
GEN: 82    AVG FITNESS: 79270527.0848735         	AVG SCORE: 5.511     	AVG RATIO: 0.06032180385288967      	BEST SCORE: 34   	BEST RATIO: 0.060714285714285714     TOO_OLD: 133     	WON: 0    	
GEN: 83    AVG FITNESS: 72749898.8369348         	AVG SCORE: 5.083     	AVG RATIO: 0.06143860370106245      	BEST SCORE: 35   	BEST RATIO: 0.06363636363636363      TOO_OLD: 103     	WON: 0    	
GEN: 84    AVG FITNESS: 64319873.98975923        	AVG SCORE: 5.178     	AVG RATIO: 0.06150958637238364      	BEST SCORE: 35   	BEST RATIO: 0.06704980842911877      TOO_OLD: 87      	WON: 0    	
GEN: 85    AVG FITNESS: 17790019.596283603       	AVG SCORE: 5.433     	AVG RATIO: 0.06044322808891262      	BEST SCORE: 33   	BEST RATIO: 0.06889352818371608      TOO_OLD: 107     	WON: 0    	
GEN: 86    AVG FITNESS: 94695993.1587931         	AVG SCORE: 7.082     	AVG RATIO: 0.06191587763702013      	BEST SCORE: 35   	BEST RATIO: 0.06306306306306306      TOO_OLD: 134     	WON: 0    	
GEN: 87    AVG FITNESS: 42054192.62673541        	AVG SCORE: 6.419     	AVG RATIO: 0.059893257693097196     	BEST SCORE: 33   	BEST RATIO: 0.07236842105263158      TOO_OLD: 124     	WON: 0    	
GEN: 88    AVG FITNESS: 29882319.32625368        	AVG SCORE: 6.036     	AVG RATIO: 0.05868740884783665      	BEST SCORE: 33   	BEST RATIO: 0.05851063829787234      TOO_OLD: 138     	WON: 0    	
GEN: 89    AVG FITNESS: 1382565359.7934098       	AVG SCORE: 5.772     	AVG RATIO: 0.059849443188652256     	BEST SCORE: 40   	BEST RATIO: 0.06144393241167435      TOO_OLD: 90      	WON: 0    	
GEN: 90    AVG FITNESS: 110653902.78515442       	AVG SCORE: 4.837     	AVG RATIO: 0.058245529532181345     	BEST SCORE: 36   	BEST RATIO: 0.06040268456375839      TOO_OLD: 92      	WON: 0    	
GEN: 91    AVG FITNESS: 39550905.2487556         	AVG SCORE: 4.824     	AVG RATIO: 0.056984230110448286     	BEST SCORE: 34   	BEST RATIO: 0.06060606060606061      TOO_OLD: 82      	WON: 0    	
GEN: 92    AVG FITNESS: 170531536.46139163       	AVG SCORE: 4.381     	AVG RATIO: 0.055057055245563764     	BEST SCORE: 37   	BEST RATIO: 0.0524822695035461       TOO_OLD: 117     	WON: 0    	
GEN: 93    AVG FITNESS: 13921077.906198515       	AVG SCORE: 4.373     	AVG RATIO: 0.05759100247589949      	BEST SCORE: 32   	BEST RATIO: 0.09937888198757763      TOO_OLD: 53      	WON: 0    	
GEN: 94    AVG FITNESS: 336217110.70795125       	AVG SCORE: 5.121     	AVG RATIO: 0.06227881352840308      	BEST SCORE: 38   	BEST RATIO: 0.0625                   TOO_OLD: 68      	WON: 0    	
GEN: 95    AVG FITNESS: 161690120.66792434       	AVG SCORE: 4.669     	AVG RATIO: 0.057290452409291134     	BEST SCORE: 37   	BEST RATIO: 0.05657492354740061      TOO_OLD: 93      	WON: 0    	
GEN: 96    AVG FITNESS: 10365275.47574157        	AVG SCORE: 4.118     	AVG RATIO: 0.05905551332979594      	BEST SCORE: 31   	BEST RATIO: 0.06724511930585683      TOO_OLD: 69      	WON: 0    	
GEN: 97    AVG FITNESS: 23352201.6202883         	AVG SCORE: 4.387     	AVG RATIO: 0.059535603295018114     	BEST SCORE: 33   	BEST RATIO: 0.07857142857142857      TOO_OLD: 93      	WON: 0    	
